Eddard S Encounters:
Theon G (Theon), Eddard S (Eddard Stark), 23371, "his head down onto the hard black wood. Lord Eddard Stark dismounted and his ward Theon"
Catelyn S (Catelyn), Eddard S (Ned), 40481, "she came. "Ned;" she called softly.  He lifted his head to look at her. "Catelyn"
Eddard S (Ned), Rickon S (Rickon), 40920, "Sansa is charmed and gracious; but Rickon is not quite sure."  "Is he afraid?" Ned"
Eddard S (Ned), Sansa S (Sansa), 40920, "Sansa is charmed and gracious; but Rickon is not quite sure."  "Is he afraid?" Ned"
Eddard S (Ned), Catelyn S (Catelyn), 42996, "King-beyond-the-Wall for good and all."  "Beyond the Wall?" The thought made Catelyn shudder.  Ned"
Mance R (Mance), Eddard S (Ned), 43030, "the Wall?" The thought made Catelyn shudder.  Ned saw the dread on her face. "Mance"
Jon A (Lord Arryn), Eddard S (Ned), 44196, "it would. In his youth; Ned had fostered at the Eyrie; and the childless Lord Arryn"
Eddard S (Ned), Luwin (Maester Luwin), 46601, "will want to be here. I shall tell Maester Luwin to send his swiftest bird." Ned"
Cersei L (the queen), Eddard S (Ned), 47167, "told him.  Ned grimaced at that. There was small love between him and the queen"
Catelyn S (Catelyn), Eddard S (Ned), 47185, " Ned grimaced at that. There was small love between him and the queen's family; Catelyn"
Eddard S (Ned), Brandon S (Bran), 47748, "now?"  "Prince Tommen is seven;" she told him. "The same age as Bran. Please; Ned"
Eddard S (Ned), Tommen (Tommen), 47748, "now?"  "Prince Tommen is seven;" she told him. "The same age as Bran. Please; Ned"
Robert B (Robert), Eddard S (Ned), 47942, " Ned squeezed her hand. "There must be a feast; of course; with singers; and Robert"
Jaime L (Jaime), Eddard S (Ned), 71517, "the crowned stag of Baratheon.  Ned knew many of the riders. There came Ser Jaime"
Robert B (the king), Eddard S (Ned), 72819, "perfume; and he had a girth to match his height. Ned had last seen the king"
Balon G (Balon Greyjoy), Eddard S (Ned), 72858, "to match his height. Ned had last seen the king nine years before during Balon Greyjoy"
Eddard S (Ned), Robert B (Robert), 73122, "by side in Greyjoy's fallen stronghold; where Robert had accepted the rebel lord's surrender and Ned"
Theon G (Theon), Eddard S (Ned), 73146, "stronghold; where Robert had accepted the rebel lord's surrender and Ned had taken his son Theon"
Robert B (the king), Eddard S (Ned), 73176, "rebel lord's surrender and Ned had taken his son Theon as hostage and ward; the king"
Eddard S (Ned), Robert B (Robert), 73413, "could hide his stomach or the dark circles under his eyes.  Yet Robert was Ned"
Cersei L (the queen), Eddard S (Ned), 73895, "wide to pass through the castle gate. Ned knelt in the snow to kiss the queen"
Robert B (Robert), Eddard S (Ned), 73916, "through the castle gate. Ned knelt in the snow to kiss the queen's ring; while Robert"
Catelyn S (Catelyn), Eddard S (Ned), 73933, "castle gate. Ned knelt in the snow to kiss the queen's ring; while Robert embraced Catelyn"
Eddard S (Eddard), Robert B (the king), 74177, "completed than the king had said to his host; "Take me down to your crypt; Eddard"
Eddard S (Ned), Jon S (Snow), 75468, "in the north."  Robert snorted. "More likely they were hiding under the snow. Snow; Ned"
Eddard S (Ned), Robert B (Robert), 75468, "in the north."  Robert snorted. "More likely they were hiding under the snow. Snow; Ned"
Robert B (Robert), Eddard S (Ned), 75880, "admitted. "But the Starks will endure. We always have."  "You need to come south;" Robert"
Robert B (the king), Eddard S (Ned), 77228, "Ned could not help but notice that those pleasures were taking a toll on the king"
Robert B (Robert), Eddard S (Ned), 79276, "children. Ned did not like to think on that. "Here;" he told his king.  Robert"
Eddard S (Ned), Rickard K (Lord Rickard), 79383, "and bowed his head.  There were three tombs; side by side. Lord Rickard Stark; Ned"
Eddard S (Ned), Rickard S (Rickard Stark), 79383, "and bowed his head.  There were three tombs; side by side. Lord Rickard Stark; Ned"
Eddard S (Ned), Lyanna (Lyanna), 79963, "eldest; born to rule.  Lyanna had only been sixteen; a child-woman of surpassing loveliness. Ned"
Robert B (Robert), Eddard S (Ned), 80004, "been sixteen; a child-woman of surpassing loveliness. Ned had loved her with all his heart. Robert"
Robert B (the king), Eddard S (Ned), 80647, "to wash her clean."  "I was with her when she died;" Ned reminded the king"
Brandon S (Brandon), Eddard S (Ned), 80697, "when she died;" Ned reminded the king. "She wanted to come home; to rest beside Brandon"
Eddard S (Ned), Howland R (Howland Reed), 81322, "body; silent with grief. The little crannogman; Howland Reed; had taken her hand from his. Ned"
Lyanna (Lyanna), Eddard S (Ned), 81398, "Ned could recall none of it. "I bring her flowers when I can;" he said. "Lyanna"
Eddard S (Ned), Rhaegar T (Rhaegar), 81599, "flesh. "I vowed to kill Rhaegar for what he did to her."  "You did;" Ned"
Robert B (Robert), Eddard S (Ned), 81634, "for what he did to her."  "You did;" Ned reminded him.  "Only once;" Robert"
Eddard S (Ned), Robert B (Robert), 82182, "crushing blow from Robert's hammer stove in the dragon and the chest beneath it. When Ned"
