Tommen Encounters:
Tommen (Prince Tommen), Myrcella B (Myrcella), 73899, "beneath a crimson canopy, one leg thrown negligently over the carved wooden arm of his chair. Princess Myrcella and Prince Tommen"
Sandor C (Sandor), Tommen (Prince Tommen), 73952, "wooden arm of his chair. Princess Myrcella and Prince Tommen sat behind him. In the back of the royal box, Sandor"
Tommen (Prince Tommen), Myrcella B (Myrcella), 74523, "when he spoke.  Princess Myrcella nodded a shy greeting at the sound of Sansa�s name, but plump little Prince Tommen"
Tommen (Prince Tommen), Sansa S (Sansa), 74523, "when he spoke.  Princess Myrcella nodded a shy greeting at the sound of Sansa�s name, but plump little Prince Tommen"
Sansa S (Sansa), Tommen (Prince Tommen), 74549, "Princess Myrcella nodded a shy greeting at the sound of Sansa�s name, but plump little Prince Tommen jumped up eagerly. �Sansa"
Tommen (Tommen), Sansa S (Sansa), 74627, "Prince Tommen jumped up eagerly. �Sansa, did you hear? I�m to ride in the tourney today. Mother said I could.� Tommen"
Bran S (Bran), Tommen (Tommen), 74693, "the tourney today. Mother said I could.� Tommen was all of eight. He reminded her of her own little brother, Bran"
Tommen (Tommen), Sansa S (Sansa), 74868, " Sansa would have given anything to be with him. �I fear for the life of your foeman,� she told Tommen"
Joffrey B (Joff), Tommen (Tommen), 74925, "�I fear for the life of your foeman,� she told Tommen solemnly.  �His foeman will be stuffed with straw,� Joff"
Tommen (Tommen), Morros S (Morros Slynt), 80830, "had heard her vengeful prayer. But when they disentangled Morros Slynt from his horse, they found him bloodied but alive. �Tommen"
Sansa S (Sansa), Tommen (Tommen), 85680, " Tommen gave a shout of joy and ran off to be readied, his chubby little legs pumping hard. �Luck,� Sansa"
Tommen (Tommen), Aron S (Aron Santagar), 86538, "on his shield. The squires helped him mount, and Ser Aron Santagar, the Red Keep�s master-at-arms, stepped forward and handed Tommen"
Tommen (Tommen), Gyles R (Lord Gyles), 86927, "and Lord Gyles started a ragged cheer, and Sansa added her voice to theirs. The king brooded in silence.  Tommen"
Tommen (Tommen), Sansa S (Sansa), 86927, "and Lord Gyles started a ragged cheer, and Sansa added her voice to theirs. The king brooded in silence.  Tommen"
Tommen (Tommen), Tanda (Tanda), 86927, "and Lord Gyles started a ragged cheer, and Sansa added her voice to theirs. The king brooded in silence.  Tommen"
Tommen (Prince Tommen), Sandor C (Hound), 87977, "well.�  �Look,� the Hound interrupted. �The boy has courage. He�s going to try again.�  They were helping Prince Tommen"
Joffrey B (Joffrey), Tommen (Tommen), 88042, "to try again.�  They were helping Prince Tommen mount his pony. If only Tommen were the elder instead of Joffrey"
Sansa S (Sansa), Tommen (Tommen), 88049, "try again.�  They were helping Prince Tommen mount his pony. If only Tommen were the elder instead of Joffrey, Sansa"
Tommen (Tommen), Joffrey B (Joffrey), 88090, "Prince Tommen mount his pony. If only Tommen were the elder instead of Joffrey, Sansa thought. I wouldn�t mind marrying Tommen"
Tommen (Tommen), Sansa S (Sansa), 88090, "Prince Tommen mount his pony. If only Tommen were the elder instead of Joffrey, Sansa thought. I wouldn�t mind marrying Tommen"
Tyrion L (Tyrion), Tommen (Tommen), 90191, "armor and all, and deposited him on the ground beside his uncle. Tommen�s breathless laughter echoed off the walls as Tyrion"
Sansa S (Sansa), Tommen (Tommen), 90231, "the ground beside his uncle. Tommen�s breathless laughter echoed off the walls as Tyrion clapped him on the backplate, and Sansa"
Myrcella B (Myrcella), Tommen (Tommen), 90738, "like a stalking cat, and a gaunt youth with an empty socket where one eye should have been. Tommen and Myrcella"
