Alyn Encounters:
Eddard S (Ned), Alyn (Alyn), 206476, "the world was still and grey.  Alyn shook him roughly from his dreams and Ned"
Alyn (Alyn), Eddard S (Ned), 206860, "matters of state to discuss."  "By all means;" Ned said. "Come inside; Your Grace." Alyn"
Robert B (Robert), Alyn (Alyn), 206911, ""Come inside; Your Grace." Alyn lifted the flap of the tent.  "No; no; no;" Robert"
Alyn (Alyn), Harwin (Harwin), 418994, "voice or drawn a blade or anything; not Harwin who always talked so bold; or Alyn"
Jory C (Jory), Alyn (Alyn), 419032, "who always talked so bold; or Alyn who was going to be a knight; or Jory"
Petyr B (Lord Baelish), Alyn (Alyn), 494171, "the bed. Alyn entered as he was drying his face. "My lord;" he said; "Lord Baelish"
Eddard S (Ned), Alyn (Alyn), 535677, "at the top of the Street of Steel. Alyn knows the way; my lord."  Ned"
Alyn (Alyn), Jory C (Jory), 569685, "as well; and so too the king's brother; handsome Lord Renly of Storm's End. Jory; Alyn"
Alyn (Alyn), Renly B (Renly), 569685, "as well; and so too the king's brother; handsome Lord Renly of Storm's End. Jory; Alyn"
Alyn (Alyn), Robert B (the king), 569685, "as well; and so too the king's brother; handsome Lord Renly of Storm's End. Jory; Alyn"
Harwin (Harwin), Alyn (Alyn), 569697, "and so too the king's brother; handsome Lord Renly of Storm's End. Jory; Alyn; and Harwin"
Jory C (Jory), Alyn (Alyn), 569738, "Lord Renly of Storm's End. Jory; Alyn; and Harwin rode for Winterfell and the north. "Jory"
Alyn (Alyn), Robert B (the king), 570312, "lance was steadier and his blows better placed; and the king gave him the victory. Alyn"
Harwin (Harwin), Alyn (Alyn), 570323, "steadier and his blows better placed; and the king gave him the victory. Alyn and Harwin"
Meryn T (Meryn), Alyn (Alyn), 570391, "Alyn and Harwin fared less well; Harwin was unhorsed in his first tilt by Ser Meryn"
Alyn (Alyn), Harwin (Harwin), 570421, "well; Harwin was unhorsed in his first tilt by Ser Meryn of the Kingsguard; while Alyn"
Alyn (Alyn), Meryn T (Meryn), 570421, "well; Harwin was unhorsed in his first tilt by Ser Meryn of the Kingsguard; while Alyn"
Balon S (Ser Balon), Alyn (Alyn), 570439, "in his first tilt by Ser Meryn of the Kingsguard; while Alyn fell to Ser Balon"
Alyn (Alyn), Eddard S (Ned), 615779, "paces after all the other bowmen had been eliminated at the shorter distances. Ned sent Alyn"
Alyn (Alyn), Cayn (Cayn), 622793, "my other guards?" Ned asked. Porther and Cayn had been posted outside the tower; and Alyn"
Alyn (Alyn), Eddard S (Ned), 622793, "my other guards?" Ned asked. Porther and Cayn had been posted outside the tower; and Alyn"
Varys (Varys), Alyn (Alyn), 622873, "on the stairs.  "The Red Keep has ways known only to ghosts and spiders." Varys"
Jory C (Jory), Alyn (Alyn), 782302, "from Mother? Is she coming home?"  "The message was from Alyn in King's Landing. Jory"
Pycelle (Maester Pycelle), Alyn (Alyn), 783116, "a falling horse in the fight. Alyn says his leg was shattered; and � Maester Pycelle"
Alyn (Alyn), Jory C (Jory), 834235, "was about to say Jory when he remembered. "Summon the captain of my guard."  Alyn"
Alyn (Alyn), Eddard S (Ned), 834450, "Ned said. "I must know how things stand."  "The Kingslayer is fled the city;" Alyn"
Alyn (Alyn), Jaime L (Kingslayer), 834450, "Ned said. "I must know how things stand."  "The Kingslayer is fled the city;" Alyn"
Alyn (Alyn), Eddard S (Eddard), 835053, "fear this is only the beginning."  "No harm will come to them; Lord Eddard;" Alyn"
Jory C (Jory), Alyn (Alyn), 835093, "will come to them; Lord Eddard;" Alyn said. "I stake my life on that."  "Jory"
Eddard S (Ned), Alyn (Alyn), 835822, "he should dream that dream again after so many years.  "You've done well; Alyn;" Ned"
Vayon P (Vayon), Alyn (Alyn), 835844, "dream again after so many years.  "You've done well; Alyn;" Ned was saying when Vayon"
Alyn (Alyn), Eddard S (Eddard), 924246, "because of his leg."  Lord Eddard had taken his supper in his bedchamber with Alyn"
Harwin (Harwin), Alyn (Alyn), 924254, "of his leg."  Lord Eddard had taken his supper in his bedchamber with Alyn; Harwin"
Vayon P (Vayon), Alyn (Alyn), 924265, "leg."  Lord Eddard had taken his supper in his bedchamber with Alyn; Harwin; and Vayon"
Septa M (Septa), Alyn (Alyn), 924317, "bedchamber with Alyn; Harwin; and Vayon Poole; the better to rest his broken leg; and Septa"
Beric D (Lord Beric), Alyn (Alyn), 930970, "cloaks.  Alyn carried the Stark banner. When she saw him rein in beside Lord Beric"
Alyn (Alyn), Beric D (Lord Beric), 931028, "rein in beside Lord Beric to exchange words; it made Sansa feel ever so proud. Alyn"
Alyn (Alyn), Sansa S (Sansa), 931028, "rein in beside Lord Beric to exchange words; it made Sansa feel ever so proud. Alyn"
Jory C (Jory), Alyn (Alyn), 931052, "Beric to exchange words; it made Sansa feel ever so proud. Alyn was handsomer than Jory"
Alyn (Alyn), Jory C (Jory), 948257, "portly guardsman with the ginger-colored whiskers his children called Fat Tom. With Jory dead and Alyn"
Alyn (Alyn), Tom (Fat Tom), 948257, "portly guardsman with the ginger-colored whiskers his children called Fat Tom. With Jory dead and Alyn"
Tom (Fat Tom), Alyn (Alyn), 948271, "the ginger-colored whiskers his children called Fat Tom. With Jory dead and Alyn gone; Fat Tom"
Eddard S (Ned), Alyn (Alyn), 948330, "dead and Alyn gone; Fat Tom had command of his household guard. The thought filled Ned"
Alyn (Alyn), Tom (Tom), 949140, "or leaves the Tower of the Hand without my leave."  Tom blinked. "M'lord; with Alyn"
