Jaime L Encounters:
Jaime L (Kingslayer), Rhaegar T (Rhaegar), 63116, "who had never killed anyone, �as he killed my brother Rhaegar. And Lannister too, the Kingslayer"
Illyrio M (Magister Illyrio), Jaime L (Kingslayer), 63196, "Kingslayer, for what he did to my father.�  �That would be most fitting,� Magister Illyrio"
Jaime L (Jaime), Eddard S (Ned), 71517, "the crowned stag of Baratheon.  Ned knew many of the riders. There came Ser Jaime"
Sandor C (Sandor), Jaime L (Jaime Lannister), 71580, "riders. There came Ser Jaime Lannister with hair as bright as beaten gold, and there Sandor"
Jaime L (Jaime), Robert B (Robert), 74576, "had said no more than that; Robert had looked at her, and her twin brother Jaime"
Jaime L (Jaime), Tyrion L (Imp), 95493, "Casterly Rock. The Lion and the Imp; there was no mistaking which was which. Ser Jaime"
Cersei L (Cersei), Jaime L (Jaime Lannister), 95528, "Imp; there was no mistaking which was which. Ser Jaime Lannister was twin to Queen Cersei"
Jon S (Jon), Jaime L (Kingslayer), 95870, "him the Lion of Lannister to his face and whispered �Kingslayer� behind his back.  Jon"
Jaime L (Jaime), Cersei L (Cersei), 96189, "brood and by far the ugliest. All that the gods had given to Cersei and Jaime"
Tyrion L (Tyrion), Jaime L (Jaime), 96213, "the ugliest. All that the gods had given to Cersei and Jaime, they had denied Tyrion"
Jaime L (Jaime), Meryn T (Meryn), 145052, "face, and Ser Meryn had droopy eyes and a beard the color of rust. Ser Jaime"
Cersei L (Cersei), Jaime L (Jaime), 168515, "laid out in the morning room of the Guest House. Jaime sat at table with Cersei"
Robert B (Robert), Jaime L (Jaime), 168576, "sat at table with Cersei and the children, talking in low, hushed voices.  �Is Robert"
Jaime L (Jaime), Robert B (Robert), 168917, "has taken their sorrow deeply to heart.�  �He has a large heart, our Robert,� Jaime"
Tyrion L (Tyrion), Jaime L (Jaime), 168997, "Robert,� Jaime said with a lazy smile. There was very little that Jaime took seriously. Tyrion"
Tyrion L (Tyrion), Jaime L (Jaime), 169191, "Jaime had ever shown him the smallest measure of affection or respect, and for that Tyrion"
Jaime L (Jaime), Tommen (Tommen), 170219, "die,� Tommen said timorously. He was a sweet boy. Not like his brother, but then Jaime"
Tyrion L (Tyrion), Jaime L (Jaime), 170230, "said timorously. He was a sweet boy. Not like his brother, but then Jaime and Tyrion"
Eddard S (Eddard), Jaime L (Jaime), 170294, "then Jaime and Tyrion were somewhat less than peas in a pod themselves.  �Lord Eddard"
Jaime L (Jaime), Brandon S (Brandon), 170338, "peas in a pod themselves.  �Lord Eddard had a brother named Brandon as well,� Jaime"
Jaime L (Jaime), Eddard S (Eddard), 170338, "peas in a pod themselves.  �Lord Eddard had a brother named Brandon as well,� Jaime"
Jaime L (Jaime), Tyrion L (Tyrion), 170884, "nervously, but it was not the children Tyrion was watching. The glance that passed between Jaime"
Cersei L (Cersei), Jaime L (Jaime), 170895, "it was not the children Tyrion was watching. The glance that passed between Jaime and Cersei"
Tyrion L (Tyrion), Jaime L (Jaime), 171179, "were the maester�s words?� Jaime asked.  The bacon crunched when he bit into it. Tyrion"
Jaime L (Jaime), Eddard S (Eddard), 173575, "Eddard can do for the boy in any case.�  �He could end his torment,� Jaime"
Tyrion L (Tyrion), Jaime L (Jaime), 174143, "possibilities.�  Jaime smiled. �You are a perverse little imp, aren�t you?�  �Oh, yes,� Tyrion"
