Tywin L Encounters:
Jon A (JonArryn), Tywin L (Tywin Lannister), 83668, "Against my wishes. I had hoped to foster him with Tywin Lannister at Casterly Rock. JonArryn"
Tywin L (Tywin), Eddard S (Ned), 83820, "women?"  Ned would sooner entrust a child to a pit viper than to Lord Tywin"
Tywin L (Tywin), Robert A (Lord of the Eyrie), 84135, ""Six; and sickly; and Lord of the Eyrie; gods have mercy;" the king swore. "Lord Tywin"
Tywin L (Tywin), Robert B (the king), 84135, ""Six; and sickly; and Lord of the Eyrie; gods have mercy;" the king swore. "Lord Tywin"
Lysa A (Lysa), Tywin L (Tywin), 84171, "Eyrie; gods have mercy;" the king swore. "Lord Tywin had never taken a ward before. Lysa"
Tywin L (Tywin), Robert B (the king), 84751, "as well."  "A generous offer; my friend;" the king said; "but too late. Lord Tywin"
Tywin L (Tywin), Tyrion L (Tyrion Lannister), 96132, "other one; waddling along half-hidden by his brother's side. Tyrion Lannister; the youngest of Lord Tywin"
Cersei L (Cersei), Tywin L (Tywin), 96202, "Lord Tywin's brood and by far the ugliest. All that the gods had given to Cersei"
Robert B (Robert), Tywin L (Tywin Lannister), 212519, "in him. He remembered the angry words they had exchanged when Tywin Lannister had presented Robert"
Rhaegar T (Rhaegar), Tywin L (Tywin Lannister), 212547, "angry words they had exchanged when Tywin Lannister had presented Robert with the corpses of Rhaegar"
Rhaegar T (Rhaegar), Tywin L (Tywin Lannister), 213240, "than a child. You are no Tywin Lannister; to slaughter innocents." It was said that Rhaegar"
Tywin L (Tywin), Robert B (the king), 217465, "when the enemy appears on the field;" the king said stubbornly. "At the moment; Lord Tywin"
Jaime L (Jaime), Tywin L (Tywin), 217519, "stubbornly. "At the moment; Lord Tywin looms eternal as Casterly Rock; so I doubt that Jaime"
Tywin L (Tywin), Aerys T (Aerys Targaryen), 219655, "royalists. Aerys Targaryen must have thought that his gods had answered his prayers when Lord Tywin"
Eddard S (Ned), Tywin L (Tywin), 371746, "owe Lord Tywin some three million dragons at present; what matter another hundred thousand?"  Ned"
Tywin L (Tywin), Jaremy R (Jaremy Rykker), 392303, "Rykker commented dryly. "I ought to know; I was there on the battlements beside him. Tywin"
Tywin L (Tywin), Robert B (Robert), 398233, "as his word. He left the rest unsaid; that King Robert would ignore him; Lord Tywin"
Jaime L (Jaime), Tywin L (Tywin), 398290, "ignore him; Lord Tywin would ask if he had taken leave of his senses; and Jaime"
Joffrey B (Prince Joffrey), Tywin L (Tywin), 490523, "father. Lord Tywin had brought a retinue to the city for the tourney on Prince Joffrey"
Tywin L (Tywin), Eddard S (Ned), 596953, "asked him. "Lannisters?"  Robert nodded; wiping tears from his eyes. "Cousins. Sons of Lord Tywin"
Tywin L (Tywin), Robert B (Robert), 596953, "asked him. "Lannisters?"  Robert nodded; wiping tears from his eyes. "Cousins. Sons of Lord Tywin"
Tywin L (Tywin), Cersei L (Cersei Lannister), 600501, "heir. Cersei Lannister would be a good match; he told me; she would bind Lord Tywin"
Viserys T (Viserys), Tywin L (Tywin), 600522, "be a good match; he told me; she would bind Lord Tywin to me should Viserys"
Tywin L (Tywin), Cersei L (Cersei), 603765, "man would listen. Then Cersei would fall; and the Kingslayer with her; and if Lord Tywin"
Tywin L (Tywin), Jaime L (Kingslayer), 603765, "man would listen. Then Cersei would fall; and the Kingslayer with her; and if Lord Tywin"
Robert B (Robert), Tywin L (Tywin), 603797, "fall; and the Kingslayer with her; and if Lord Tywin dared to rouse the west; Robert"
Rhaegar T (Rhaegar), Tywin L (Tywin), 603839, "Lord Tywin dared to rouse the west; Robert would smash him as he had smashed Rhaegar"
Tyrion L (Tyrion), Tywin L (Tywin), 635804, "of what happened here today." Lord Tywin would do no such thing; of course; but Tyrion"
Bronn (Bronn), Tywin L (Tywin), 654782, "befit one of Lord Tywin's men; heavy leather; oiled and supple; much finer than what Bronn"
Tyrion L (Tyrion), Tywin L (Tywin), 654803, "Tywin's men; heavy leather; oiled and supple; much finer than what Bronn was wearing.  Tyrion"
Robert B (Robert), Tywin L (Tywin), 661071, "up on the table and snatched a roast quail right out of Lord Tywin's fingers. Robert"
Tywin L (Tywin), Petyr B (Littlefinger), 674362, "the truth. And now his wife has abducted Tyrion Lannister; thanks to Littlefinger's meddling. Lord Tywin"
Tywin L (Tywin), Tyrion L (Tyrion Lannister), 674362, "the truth. And now his wife has abducted Tyrion Lannister; thanks to Littlefinger's meddling. Lord Tywin"
Jaime L (Jaime), Tywin L (Tywin), 674403, "Tyrion Lannister; thanks to Littlefinger's meddling. Lord Tywin will take that for an outrage; and Jaime"
Tyrion L (Imp), Tywin L (Tywin), 674437, "Tywin will take that for an outrage; and Jaime has a queer affection for the Imp"
Cersei L (Cersei), Tywin L (Tywin), 746817, "wench at Casterly Rock; three years ago when he went west for Lord Tywin's tourney. Cersei"
Tywin L (Tywin), Stannis B (Stannis), 762714, "the men around him; well; their pipers play a different tune. His brother Stannis; Lord Tywin"
Eddard S (Eddard), Tywin L (Tywin Lannister), 762732, "around him; well; their pipers play a different tune. His brother Stannis; Lord Tywin Lannister; Eddard"
Daenerys T (Dany), Tywin L (Tywin Lannister), 762784, "Stannis; Lord Tywin Lannister; Eddard Stark �" He spat.  "You hate this Lord Stark;" Dany"
Jaime L (Jaime), Tywin L (Tywin), 812906, "his cell. Lord Tywin would surely have sent out riders when the word reached him. Jaime"
Edmure T (Edmure), Tywin L (Tywin), 844616, "the Rock; demanding that Lord Tywin proclaim his intent; but he has had no answer. Edmure"
Karyl V (Lord Vance), Tywin L (Tywin), 844641, "Lord Tywin proclaim his intent; but he has had no answer. Edmure has commanded Lord Vance"
Tywin L (Tywin), Jaime L (Jaime), 899469, "first time.  "After Jaime had made his confession; to drive home the lesson; Lord Tywin"
Tywin L (Tywin), Tyrion L (Tyrion), 902267, "done shouting out their names before he gave them answer. "I am Tyrion son of Tywin"
Tywin L (Tywin), Tyrion L (Tyrion), 902410, "the goat we ate."  "What do you have to give us; Tyrion son of Tywin"
Tywin L (Tywin), Tyrion L (Tyrion), 903013, "to give us but your lives. How would you like to die; Tyrion son of Tywin"
Tywin L (Tywin), Tyrion L (Tyrion), 904494, "more mouths than gold. What would you give us for your lives; Tyrion son of Tywin"
Tyrion L (Tyrion), Tywin L (Tywin), 904569, "son of Tywin? Swords? Lances? Mail?"  "All that; and more; Gunthor son of Gurn;" Tyrion"
Tywin L (Tywin), Gregor C (Gregor Clegane), 913597, "could mean if Ser Marq was proved right. Ser Gregor Clegane stood bannerman to Lord Tywin"
Tywin L (Tywin), Marq P (Ser Marq), 913597, "could mean if Ser Marq was proved right. Ser Gregor Clegane stood bannerman to Lord Tywin"
Tywin L (Tywin), Marq P (Ser Marq), 914550, "own. The man is an anointed knight."  "A false knight!" Ser Marq said. "Lord Tywin"
Eddard S (Hand), Tywin L (Tywin), 914577, "knight."  "A false knight!" Ser Marq said. "Lord Tywin's mad dog."  "My lord Hand"
Pycelle (Pycelle), Tywin L (Tywin), 914587, " "A false knight!" Ser Marq said. "Lord Tywin's mad dog."  "My lord Hand;" Pycelle"
Pycelle (Grand Maester), Tywin L (Tywin Lannister), 914748, "Lord Tywin Lannister is the father of our own gracious queen."  "Thank you; Grand Maester"
Eddard S (Ned), Tywin L (Tywin Lannister), 914762, "Lannister is the father of our own gracious queen."  "Thank you; Grand Maester Pycelle;" Ned"
Eddard S (Ned), Tywin L (Tywin), 916682, "an easy time of it."  And that may be precisely what Lord Tywin wants; Ned"
Tywin L (Tywin), Hoster T (Lord Hoster), 917569, "the king's leave before we strike."  Thank the gods for old Lord Hoster; then. Tywin"
Tywin L (Tywin), Robert B (the king), 917569, "the king's leave before we strike."  Thank the gods for old Lord Hoster; then. Tywin"
Gregor C (Gregor), Tywin L (Tywin Lannister), 917635, "Hoster; then. Tywin Lannister was as much fox as lion. If indeed he'd sent Ser Gregor"
Eddard S (Ned), Tywin L (Tywin), 918311, "the throne. Let them seek Lord Tywin's justice."  "It is all the xking's justice;" Ned"
Varys (Varys), Tywin L (Tywin), 923705, "best to choose men who owed Lord Tywin no fealty."  "Very prudent; no doubt;" Varys"
Ilyn P (Ilyn), Tywin L (Tywin), 923745, "no fealty."  "Very prudent; no doubt;" Varys said. "Still; I chanced to see Ser Ilyn"
Tywin L (Tywin), Eddard S (Ned), 940736, "best know."  "Dark wings; dark words;" Ned said grimly. "What of it?"  "Lord Tywin"
Gregor C (Gregor), Tywin L (Tywin), 940793, "of it?"  "Lord Tywin is greatly wroth about the men you sent after Ser Gregor"
Tywin L (Tywin), Beric D (Lord Beric), 941135, "to the queen he likes. Lord Beric rides beneath the king's own banner. If Lord Tywin"
Tywin L (Tywin), Cersei L (the queen), 941135, "to the queen he likes. Lord Beric rides beneath the king's own banner. If Lord Tywin"
Tywin L (Tywin), Robert B (the king), 941135, "to the queen he likes. Lord Beric rides beneath the king's own banner. If Lord Tywin"
Robert B (Robert), Tywin L (Tywin), 941203, "own banner. If Lord Tywin attempts to interfere with the xking's justice; he will have Robert"
Robert B (the king), Tywin L (Tywin), 943535, "not for the thin pleasure of Lord Tywin's conversation."  "Is there word of the king"
Eddard S (Ned), Tywin L (Tywin), 943541, "for the thin pleasure of Lord Tywin's conversation."  "Is there word of the king?" Ned"
Tywin L (Tywin), Rhaegar T (Rhaegar), 946809, "to excuse his delay.  Yet last night he had dreamt of Rhaegar's children. Lord Tywin"
Tywin L (Tywin), Kevan L (Kevan Lannister), 994938, "the lad well;" said Varys. "A stalwart boy; Ser Kevan Lannister's son; nephew to Lord Tywin"
Tywin L (Tywin), Varys (Varys), 994938, "the lad well;" said Varys. "A stalwart boy; Ser Kevan Lannister's son; nephew to Lord Tywin"
Cersei L (the queen), Tywin L (Tywin), 994962, ""A stalwart boy; Ser Kevan Lannister's son; nephew to Lord Tywin and cousin to the queen"
Jaime L (Jaime), Tywin L (Tywin), 1000588, "twist on the paper as his hand trailed to a stop. Lord Tywin and Ser Jaime"
Tywin L (Tywin), Cersei L (Cersei), 1003770, "easy on the throne until Cersei and her bastards are dead. Do you think Lord Tywin"
Tywin L (Tywin), Tyrion L (Imp), 1131208, "had killed Tyrion the Imp and hung his body from the walls of Riverrun. Lord Tywin"
Tyrion L (dwarf), Tywin L (Tywin), 1177886, "almost without color; and his look disturbing. "It is said that you hold Lord Tywin's dwarf"
Jaime L (Kingslayer), Tywin L (Tywin), 1183732, "the foe in the field. If you should chance to take Lord Tywin or the Kingslayer"
Tywin L (Tywin), Raymun D (Raymun), 1185847, "is certain; but Ser Raymun was killed; and most of our men from Winterfell. Lord Tywin"
Tywin L (Tywin), Galbart G (Galbart Glover), 1186324, "the crannogmen will bleed them every step of the way; but Galbart Glover says Lord Tywin"
Roose B (Roose), Tywin L (Tywin), 1186357, "of the way; but Galbart Glover says Lord Tywin is too smart for that; and Roose"
Tywin L (Tywin), Jaime L (Jaime), 1186687, "bone. What chance would a fifteen-year-old boy have against seasoned battle commanders like Jaime and Tywin"
Tywin L (Tywin), Greatjon U (Greatjon), 1187962, "to do?"  Robb hesitated. "The Greatjon thinks we should take the battle to Lord Tywin"
Tywin L (Tywin), Robb S (Robb), 1187962, "to do?"  Robb hesitated. "The Greatjon thinks we should take the battle to Lord Tywin"
Jaime L (Kingslayer), Tywin L (Tywin), 1189022, "around Lord Tywin's host; we take the risk of being caught between him and the Kingslayer"
Eddard S (Ned), Tywin L (Tywin Lannister), 1189354, "Lannister won't be so easily surprised."  "Good;" she said. She could hear echoes of Ned"
Tywin L (Tywin), Jaime L (Jaime), 1190086, "a river between the two parts of your army."  "And between Jaime and Lord Tywin"
Tywin L (Tywin), Greatjon U (Greatjon), 1190863, " "And the other?"  "The Greatjon is always saying that we should smash Lord Tywin"
Tywin L (Tywin), Robb S (Robb), 1191677, "said at once. "That man scares me."  "Then let us pray he will scare Tywin"
Robb S (Robb), Tywin L (Tywin Lannister), 1191703, "scares me."  "Then let us pray he will scare Tywin Lannister as well."  Robb"
Tywin L (Tywin), Tyrion L (Tyrion), 1193202, "be best if I rode down alone;" he suggested.  "Best for Tyrion son of Tywin"
Shagga (Shagga), Tywin L (Tywin), 1193255, ""Best for Tyrion son of Tywin;" said Ulf; who spoke for the Moon Brothers.  Shagga"
Tywin L (Tywin), Tyrion L (Tyrion), 1197990, "ground to make a hole in the line. Tyrion led his party through.  Lord Tywin"
Tywin L (Tywin), Kevan L (Kevan Lannister), 1201245, "Kevan Lannister; his father's only surviving brother; was sharing a flagon of ale with Lord Tywin"
Tyrion L (Tyrion), Tywin L (Tywin), 1201257, "his father's only surviving brother; was sharing a flagon of ale with Lord Tywin when Tyrion"
Tywin L (Tywin), Tyrion L (Tyrion), 1201548, "said; bowing. "And my lord father. What a pleasure to find you here."  Lord Tywin"
Tyrion L (dwarf), Tywin L (Tywin), 1201603, "here."  Lord Tywin did not stir from his chair; but he did give his dwarf"
Jaime L (Jaime), Tywin L (Tywin), 1202243, " "By my lights; it was you who started this;" Lord Tywin replied. "Your brother Jaime"
Tywin L (Tywin), Walder F (Walder Frey), 1204130, "Seagard and Walder Frey is marshaling his levies at the Twins."  "No matter;" Lord Tywin"
Eddard S (Ned), Tywin L (Tywin), 1206046, " "Do you?" Lord Tywin did not seem awed. "We also have a pair of Ned"
Tywin L (Tywin), Bronn (Bronn), 1207908, "with them. The sellsword gave Tyrion a rueful shrug.  "Who might you be?" Lord Tywin"
Tywin L (Tywin), Tyrion L (Tyrion), 1207908, "with them. The sellsword gave Tyrion a rueful shrug.  "Who might you be?" Lord Tywin"
Tyrion L (Tyrion), Tywin L (Tywin), 1207970, "might you be?" Lord Tywin asked; cool as snow.  "They followed me home; Father;" Tyrion"
Tyrion L (Tyrion), Tywin L (Tywin), 1208547, "brother placed two fingers on his wrist and held him fast. Lord Tywin seemed unperturbed. "Tyrion"
Tywin L (Tywin), Bronn (Bronn), 1209360, "famously; Father." To Bronn and the clansmen he said; "May I present my lord father; Tywin"
Eddard S (Hand), Tywin L (Lord of Casterly Rock), 1209483, "Lord of Casterly Rock; Warden of the West; Shield of Lannisport; and once and future Hand"
Tywin L (Tywin), Eddard S (Hand), 1209507, "Warden of the West; Shield of Lannisport; and once and future Hand oftheKing."  Lord Tywin"
Tywin L (Tywin), Tyrion L (Tyrion), 1210038, "gave Tyrion's clansmen a quick; queer look as he dropped to one knee before Lord Tywin"
