Raymun D Encounters:
Arya S (Arya), Raymun D (Raymun Darry), 293186, "made themselves the uninvited guests of its lord; Ser Raymun Darry; while the hunt for Arya"
Robert B (the king), Raymun D (Raymun), 293314, "both sides of the river. They were not welcome visitors. Ser Raymun lived under the king"
Rhaegar T (Rhaegar), Raymun D (Raymun), 293365, "welcome visitors. Ser Raymun lived under the king's peace; but his family had fought beneath Rhaegar"
Raymun D (Raymun), Robert B (Robert), 293481, "Trident; and his three older brothers had died there; a truth neither Robert nor Ser Raymun"
Eddard S (Ned), Raymun D (Raymun), 293715, "and heavy.  The king had appropriated Ser Raymun's audience chamber; and that was where Ned"
Renly B (Renly), Raymun D (Raymun Darry), 294986, "his own men; they were few enough. Ser Raymun Darry guarded his look well. Lord Renly"
Raymun D (Raymun), Varys (Lord Varys), 906738, "had brought them here to bear witness stood behind them.  "Brigands; Lord Varys?" Ser Raymun"
Eddard S (Ned), Raymun D (Raymun Darry), 906834, "Raymun Darry's voice dripped scorn. "Oh; they were brigands; beyond a doubt. Lannister brigands."  Ned"
Raymun D (Raymun), Eddard S (KingsHand), 908043, "to protect and defend the king � or; Ned supposed; the KingsHand.  "Joss;" Ser Raymun"
Raymun D (Raymun), Robert B (the king), 908043, "to protect and defend the king � or; Ned supposed; the KingsHand.  "Joss;" Ser Raymun"
Raymun D (Raymun), Karyl V (Ser Karyl), 914241, "Ser Karyl said. "I have never met one."  "Nor has any man here;" Ser Raymun"
Raymun D (Raymun), Karyl V (Ser Karyl), 915550, "Petyr Baelish lost interest in his quill and leaned forward. "Ser Marq; Ser Karyl; Ser Raymun"
Raymun D (Raymun), Marq P (Ser Marq), 915550, "Petyr Baelish lost interest in his quill and leaned forward. "Ser Marq; Ser Karyl; Ser Raymun"
Raymun D (Raymun), Petyr B (Petyr Baelish), 915550, "Petyr Baelish lost interest in his quill and leaned forward. "Ser Marq; Ser Karyl; Ser Raymun"
Raymun D (Raymun), Robert B (the king), 915996, "men to find what survivors we could and bring them to the king."  Ser Raymun"
Edmure T (Ser Edmure), Raymun D (Raymun Darry), 916024, "we could and bring them to the king."  Ser Raymun Darry spoke up. "Ser Edmure"
Raymun D (Raymun), Robert B (the king), 917206, "ask of the throne?"  "The lords of the Trident keep the king's peace;" Ser Raymun"
Raymun D (Raymun), Derik (Derik), 1185418, "command to some southron lordling; Lord Erik or Derik or something like that; but Ser Raymun"
Raymun D (Raymun), Erik (Lord Erik), 1185418, "command to some southron lordling; Lord Erik or Derik or something like that; but Ser Raymun"
Raymun D (Raymun), Derik (Derik), 1185841, "Lord Derik and a few others may have escaped; no one is certain; but Ser Raymun"
Tywin L (Tywin), Raymun D (Raymun), 1185901, "is certain; but Ser Raymun was killed; and most of our men from Winterfell. Lord Tywin"
Raymun D (Raymun), Marq P (Marq Piper), 1559859, "the Golden Tooth. Ser Marq Piper was with him; and they brought a Darry; Ser Raymun"
Brandon S (Bran), Raymun D (Raymun), 1559891, "with him; and they brought a Darry; Ser Raymun's son; a lad no older than Bran"
Jonos B (Jonos), Raymun D (Raymun), 1559903, "and they brought a Darry; Ser Raymun's son; a lad no older than Bran. Lord Jonos"
