Jeyne P Encounters:
Arya S (Arya), Jeyne P (Jeyne Poole), 128986, "was leaning over to whisper something in her ear.  "What are you talking about?" Arya"
Jeyne P (Jeyne), Arya S (Arya), 129009, "whisper something in her ear.  "What are you talking about?" Arya asked suddenly.  Jeyne"
Sansa S (Sansa), Jeyne P (Jeyne), 129055, "you talking about?" Arya asked suddenly.  Jeyne gave her a startled look; then giggled. Sansa"
Jeyne P (Jeyne), Arya S (Arya), 129132, "giggled. Sansa looked abashed. Beth blushed. No one answered.  "Tell me;" Arya said.  Jeyne"
Jeyne P (Jeyne), Sansa S (Sansa), 129132, "giggled. Sansa looked abashed. Beth blushed. No one answered.  "Tell me;" Arya said.  Jeyne"
Septa M (Septa), Jeyne P (Jeyne), 129172, "one answered.  "Tell me;" Arya said.  Jeyne glanced over to make certain that Septa"
Myrcella (Myrcella), Jeyne P (Jeyne), 129208, "Arya said.  Jeyne glanced over to make certain that Septa Mordane was not listening. Myrcella"
Jeyne P (Jeyne), Arya S (Arya), 129568, "Arya had to sit with the little fat one. Naturally.  "Joffrey likes your sister;" Jeyne"
Jeyne P (Jeyne), Joffrey B (Joffrey), 129568, "Arya had to sit with the little fat one. Naturally.  "Joffrey likes your sister;" Jeyne"
Jeyne P (Jeyne), Sansa S (Sansa), 131433, "was too much. Sansa was too well bred to smile at her sister's disgrace; but Jeyne"
Myrcella (Princess Myrcella), Jeyne P (Jeyne), 131484, "to smile at her sister's disgrace; but Jeyne was smirking on her behalf. Even Princess Myrcella"
Arya S (Arya), Jeyne P (Jeyne), 131511, "disgrace; but Jeyne was smirking on her behalf. Even Princess Myrcella looked sorry for her. Arya"
Arya S (Arya), Jeyne P (Jeyne), 132882, "a lusterless brown; and her face was long and solemn. Jeyne used to call her Arya"
Jeyne P (Jeyne), Septa M (Septa Mordane), 414233, "wide as the plates. "A tourney;" she breathed. She was seated between Septa Mordane and Jeyne"
Arya S (Arya), Jeyne P (Jeyne Poole), 414257, "tourney;" she breathed. She was seated between Septa Mordane and Jeyne Poole; as far from Arya"
Jeyne P (Jeyne), Sansa S (Sansa), 415803, "He walked from the hall.  After he was gone; Sansa exchanged excited whispers with Jeyne"
Jory C (Jory), Jeyne P (Jeyne Poole), 415830, " After he was gone; Sansa exchanged excited whispers with Jeyne Poole. Down the table Jory"
Hullen (Hullen), Jeyne P (Jeyne Poole), 415860, "exchanged excited whispers with Jeyne Poole. Down the table Jory laughed at a joke; and Hullen"
Jeyne P (Jeyne), Cersei L (the queen), 418706, "let the queen kill Lady; that was horrible enough; but then the Hound found Mycah. Jeyne"
Jeyne P (Jeyne), Mycah (Mycah), 418706, "let the queen kill Lady; that was horrible enough; but then the Hound found Mycah. Jeyne"
Jeyne P (Jeyne), Sandor C (Hound), 418706, "let the queen kill Lady; that was horrible enough; but then the Hound found Mycah. Jeyne"
Arya S (Arya), Jeyne P (Jeyne Poole), 418726, "Lady; that was horrible enough; but then the Hound found Mycah. Jeyne Poole had told Arya"
Jeyne P (Jeyne), Sansa S (Sansa), 420782, "all. It was all her fault; everything bad that had happened. Sansa said so; and Jeyne"
Tom (Fat Tom), Jeyne P (Jeyne), 420796, "her fault; everything bad that had happened. Sansa said so; and Jeyne too.  Fat Tom"
Arya S (Arya), Jeyne P (Jeyne), 420828, "happened. Sansa said so; and Jeyne too.  Fat Tom was knocking on her door. "Arya"
Jeyne P (Jeyne), Sansa S (Sansa), 566435, "  SANSA   Sansa rode to the Hand's tourney with Septa Mordane and Jeyne"
Jeyne P (Jeyne), Septa M (Septa Mordane), 566435, "  SANSA   Sansa rode to the Hand's tourney with Septa Mordane and Jeyne"
Jeyne P (Jeyne), Tyrion L (Tyrion Lannister), 566435, "  SANSA   Sansa rode to the Hand's tourney with Septa Mordane and Jeyne"
Septa M (Septa), Jeyne P (Jeyne), 567916, "years old; engraved with magic runes that ward him against harm;" she whispered to Jeyne. Septa"
Jason M (Lord Jason), Jeyne P (Jeyne), 567947, "runes that ward him against harm;" she whispered to Jeyne. Septa Mordane pointed out Lord Jason"
Jeyne P (Jeyne), Sansa S (Sansa), 568565, "lesser houses. Younger men; most had done no great deeds as yet; but Sansa and Jeyne"
Jeyne P (Jeyne), Martyn R (Martyn Rivers), 569216, "grandsons of old Lord Walder Frey; and his bastard son Martyn Rivers as well.  Jeyne"
Jeyne P (Jeyne), Walder F (Walder Frey), 569216, "grandsons of old Lord Walder Frey; and his bastard son Martyn Rivers as well.  Jeyne"
Jalabhar X (Jalabhar), Jeyne P (Jeyne Poole), 569275, "son Martyn Rivers as well.  Jeyne Poole confessed herself frightened by the look of Jalabhar"
Sansa S (Sansa), Jeyne P (Jeyne), 570634, "until the field was a ragged wasteland of torn earth. A dozen times Jeyne and Sansa"
Sansa S (Sansa), Jeyne P (Jeyne), 570847, "favorites. Jeyne covered her eyes whenever a man fell; like a frightened little girl; but Sansa"
Septa M (Septa), Jeyne P (Jeyne Poole), 572252, "and the moons turned red; one by one.  Jeyne Poole wept so hysterically that Septa"
Jeyne P (Jeyne), Septa M (Septa Mordane), 573840, "walked out among them and restored the peace. By then Septa Mordane had returned; alone. Jeyne"
Sansa S (Sansa), Jeyne P (Jeyne), 573922, "Jeyne had been feeling ill; she explained; she had helped her back to the castle. Sansa"
Jeyne P (Jeyne), Sansa S (Sansa), 573955, "she explained; she had helped her back to the castle. Sansa had almost forgotten about Jeyne"
Beric D (Beric), Jeyne P (Jeyne), 574034, "about Jeyne.  Later a hedge knight in a checkered cloak disgraced himself by killing Beric"
Jeyne P (Jeyne), Loras T (Loras), 924087, "     SANSA   "He wouldn't send Ser Loras;" Sansa told Jeyne"
Jeyne P (Jeyne), Sansa S (Sansa), 924087, "     SANSA   "He wouldn't send Ser Loras;" Sansa told Jeyne"
Sansa S (Sansa), Jeyne P (Jeyne), 924558, "dancing lesson.  "His leg?" Jeyne said uncertainly. She was a pretty; dark-haired girl of Sansa"
Jeyne P (Jeyne), Sansa S (Sansa), 926372, "one day to your sorrow."  Sansa did not feel like telling all that to Jeyne"
Ilyn P (Ilyn), Jeyne P (Jeyne), 926438, "to Jeyne; however; it made her uneasy just to think back on it.  "Ser Ilyn"
Jeyne P (Jeyne), Ilyn P (Ilyn), 926482, "just to think back on it.  "Ser Ilyn's the King's Justice; not Ser Loras;" Jeyne"
Jeyne P (Jeyne), Loras T (Loras), 926482, "just to think back on it.  "Ser Ilyn's the King's Justice; not Ser Loras;" Jeyne"
Eddard S (Eddard), Jeyne P (Jeyne), 926501, "back on it.  "Ser Ilyn's the King's Justice; not Ser Loras;" Jeyne said. "Lord Eddard"
Sansa S (Sansa), Jeyne P (Jeyne), 926531, "the King's Justice; not Ser Loras;" Jeyne said. "Lord Eddard should have sent him."  Sansa"
Jeyne P (Jeyne), Loras T (Knight of Flowers), 927016, "awfully old; almost twenty-two; the Knight of Flowers would have been much better. Of course; Jeyne"
Beric D (Lord Beric), Jeyne P (Jeyne), 927049, "Flowers would have been much better. Of course; Jeyne had been in love with Lord Beric"
Jeyne P (Jeyne), Sansa S (Sansa), 927142, "since she had first glimpsed him in the lists. Sansa thought she was being silly; Jeyne"
Jeyne P (Jeyne), Arya S (Arya), 928482, "blaming her for something that Arya had done.  "I saw your sister this afternoon;" Jeyne"
Sansa S (Sansa), Jeyne P (Jeyne), 928526, " "I saw your sister this afternoon;" Jeyne blurted out; as if she'd been reading Sansa"
Sansa S (Sansa), Jeyne P (Jeyne), 928937, "the court or not?"  "I do;" Jeyne said.  "There was a black brother;" Sansa"
Jeyne P (Jeyne), Robert B (the king), 929748, "pledged their swords to the service of the king. Father accepted their oaths �"  Jeyne"
Sansa S (Sansa), Jeyne P (Jeyne), 929792, "king. Father accepted their oaths �"  Jeyne yawned. "Are there any lemon cakes?"  Sansa"
Jeyne P (Jeyne), Robert B (the king), 931639, "head on his own gate or bring it back here for the king?" She and Jeyne"
Septa M (septa), Jeyne P (Jeyne Poole), 931695, "the king?" She and Jeyne Poole had been arguing over that last night.  The septa"
Jeyne P (Jeyne), Cersei L (the queen), 1062687, ""I'll ask the queen to let you see him." She thought that kindness might lift Jeyne"
Sansa S (Sansa), Jeyne P (Jeyne), 1066032, "asked; covering her ears. "Why are they ringing the bells?"  "The king is dead." Sansa"
Jeyne P (Jeyne), Sansa S (Sansa), 1070039, ""The gods only know what sort of tales she's been filling Sansa's head with."  "Jeyne"
Sansa S (Sansa), Jeyne P (Jeyne), 1070056, "only know what sort of tales she's been filling Sansa's head with."  "Jeyne's scared;" Sansa"
Jeyne P (Jeyne), Sansa S (Sansa), 1071150, "the air behind him.  Sansa was confused. "I don't understand;" she said. "Where is Jeyne"
