Maegor Encounters:
Maegor (Maegor), Cayn (Cayn), 995655, " Cayn and Tomard were helping Ned across the bridge when Lord Renly emerged from Maegor"
Maegor (Maegor), Eddard S (Ned), 995655, " Cayn and Tomard were helping Ned across the bridge when Lord Renly emerged from Maegor"
Maegor (Maegor), Renly B (Renly), 995655, " Cayn and Tomard were helping Ned across the bridge when Lord Renly emerged from Maegor"
Maegor (Maegor), Tom (Tomard), 995655, " Cayn and Tomard were helping Ned across the bridge when Lord Renly emerged from Maegor"
Eddard S (Eddard), Maegor (Maegor), 995680, "Tomard were helping Ned across the bridge when Lord Renly emerged from Maegor's Holdfast. "Lord Eddard"
Maegor (Maegor), Sansa S (Sansa), 1062817, "child.  Sansa had wept too; the first day. Even within the stout walls of Maegor"
Maegor (Maegor), Sansa S (Sansa), 1064217, "room where Sansa had been confined was at the top of the highest tower of Maegor"
Maegor (Maegor), Boros B (Boros), 1067847, "Boros would escort her to the royal apartments; but instead he led her out of Maegor"
Maegor (Maegor), Arys O (Arys), 1075454, "her sweetly � only then Ser Arys had escorted her to the high room in Maegor"
Maegor (Maegor), Mandon M (Mandon Moore), 1081726, "her things were gone when Ser Mandon Moore returned Sansa to the high tower of Maegor"
Maegor (Maegor), Sansa S (Sansa), 1081726, "her things were gone when Ser Mandon Moore returned Sansa to the high tower of Maegor"
Jeyne P (Jeyne), Maegor (Maegor), 1081819, "of Maegor's Holdfast. No more weeping; she thought gratefully. Yet somehow it seemed colder with Jeyne"
Sansa S (Sansa), Maegor (Maegor), 1458107, "  SANSA   In the tower room at the heart of Maegor's Holdfast; Sansa"
Maegor (Maegor), Daenerys T (Daenerys), 1493656, "am Daenerys Stormborn; Daenerys of House Targaryen; of the blood of Aegon the Conqueror and Maegor"
