Myrcella Encounters:
Myrcella (Princess Myrcella), Robb S (Robb), 94355, "came Robb; in grey wool trimmed with white; the Stark colors. He had the Princess Myrcella"
Myrcella (Princess Myrcella), Septa M (septa), 128279, "but the septa was paying her no attention today. She was sitting with the Princess Myrcella"
Septa M (septa), Myrcella (Princess Myrcella), 128339, "sitting with the Princess Myrcella; all smiles and admiration. It was not often that the septa"
Myrcella (Myrcella), Cersei L (the queen), 128452, "a royal princess in the womanly arts; as she had said when the queen brought Myrcella"
Arya S (Arya), Myrcella (Myrcella), 128471, "the womanly arts; as she had said when the queen brought Myrcella to join them. Arya"
Myrcella (Myrcella), Arya S (Arya), 128493, "as she had said when the queen brought Myrcella to join them. Arya thought that Myrcella"
Myrcella (Myrcella), Arya S (Arya), 129208, "Arya said.  Jeyne glanced over to make certain that Septa Mordane was not listening. Myrcella"
Myrcella (Myrcella), Jeyne P (Jeyne), 129208, "Arya said.  Jeyne glanced over to make certain that Septa Mordane was not listening. Myrcella"
Myrcella (Myrcella), Septa M (Septa Mordane), 129208, "Arya said.  Jeyne glanced over to make certain that Septa Mordane was not listening. Myrcella"
Septa M (septa), Myrcella (Myrcella), 129243, "to make certain that Septa Mordane was not listening. Myrcella said something then; and the septa"
Myrcella (Princess Myrcella), Septa M (Septa Mordane), 130884, "today;" she said.  Septa Mordane nodded. "Indeed. A great honor for us all." Princess Myrcella"
Arya S (Arya), Myrcella (Princess Myrcella), 130928, "nodded. "Indeed. A great honor for us all." Princess Myrcella smiled uncertainly at the compliment. "Arya"
Septa M (septa), Myrcella (Princess Myrcella), 130964, "all." Princess Myrcella smiled uncertainly at the compliment. "Arya; why aren't you at work?" the septa"
Myrcella (Princess Myrcella), Jeyne P (Jeyne), 131484, "to smile at her sister's disgrace; but Jeyne was smirking on her behalf. Even Princess Myrcella"
Arya S (Arya), Myrcella (Princess Myrcella), 131511, "disgrace; but Jeyne was smirking on her behalf. Even Princess Myrcella looked sorry for her. Arya"
Tommen (Tommen), Myrcella (Myrcella), 170763, "yet live." He took a sip of beer.  Myrcella gave a happy gasp; and Tommen"
Tyrion L (Tyrion), Myrcella (Myrcella), 170816, "Myrcella gave a happy gasp; and Tommen smiled nervously; but it was not the children Tyrion"
Myrcella (Myrcella), Brandon S (Bran), 171369, "It has been four days with no change."  "Will Bran get better; Uncle?" little Myrcella"
Myrcella (Myrcella), Cersei L (Cersei), 173118, "the world."  Cersei stood abruptly. "The children don't need to hear this filth. Tommen; Myrcella"
Myrcella (Myrcella), Tommen (Tommen), 173118, "the world."  Cersei stood abruptly. "The children don't need to hear this filth. Tommen; Myrcella"
Myrcella (Princess Myrcella), Cersei L (the queen), 264947, "The grey velvet; perhaps. We are all invited to ride with the queen and Princess Myrcella"
Sansa S (Sansa), Myrcella (Princess Myrcella), 265007, "queen and Princess Myrcella in the royal wheelhouse; and we must look our best."  Sansa"
Myrcella (Princess Myrcella), Cersei L (the queen), 266976, "Sansa told her. "Septa Mordane said so. We're traveling in the queen's wheelhouse with Princess Myrcella"
