Aemon T Encounters:
Gared (Gared), Aemon T (Aemon), 20279, "it; and if not him; then surely that old bear Mormont or Maester Aemon. Would Gared"
Aemon T (Aemon), Benjen S (First Ranger), 339898, "First Ranger; and he spent his days and nights with Lord Commander Mormont and Maester Aemon"
Aemon T (Aemon), Jeor M (Commander Mormont), 339898, "First Ranger; and he spent his days and nights with Lord Commander Mormont and Maester Aemon"
Jon S (Jon), Aemon T (Aemon), 339937, "and nights with Lord Commander Mormont and Maester Aemon and the other high officers; while Jon"
Aemon T (Aemon), Tyrion L (Lord Tyrion), 393238, "small man."  "Oh; I think that Lord Tyrion is quite a large man;" Maester Aemon"
Tyrion L (Tyrion), Aemon T (Aemon), 393649, "one of them."  "Nonetheless;" Maester Aemon said as his clouded; milk-white eyes moved to Tyrion"
Aemon T (Aemon), Alliser T (Alliser Thorne), 397393, "it up? Alliser Thorne? Bowen Marsh? I would have to be as blind as Maester Aemon"
Aemon T (Aemon), Bowen M (Bowen Marsh), 397393, "it up? Alliser Thorne? Bowen Marsh? I would have to be as blind as Maester Aemon"
Bowen M (Bowen), Aemon T (Aemon), 508645, "stood at guard; mucked out stables; fletched arrows; assisted Maester Aemon with his birds or Bowen"
Jon S (Jon), Aemon T (Aemon), 520929, "When Maester Aemon heard him sing; he said his voice was honey poured over thunder." Jon"
Aemon T (Aemon), Chett (Chett), 879682, "angry.  It was Chett who answered Jon's knock. "I need to speak to Maester Aemon"
Aemon T (Aemon), Jon S (Jon), 879682, "angry.  It was Chett who answered Jon's knock. "I need to speak to Maester Aemon"
Jon S (Jon), Aemon T (Aemon), 879688, " It was Chett who answered Jon's knock. "I need to speak to Maester Aemon;" Jon"
Aemon T (Aemon), Chett (Chett), 880533, "you."  Jon had the logs crackling merrily by the time Chett led in Maester Aemon"
Aemon T (Aemon), Jon S (Jon), 880533, "you."  Jon had the logs crackling merrily by the time Chett led in Maester Aemon"
Aemon T (Aemon), Jon S (Jon Snow), 880957, "to have woken you; Maester;" Jon Snow said.  "You did not wake me;" Maester Aemon"
Chett (Chett), Aemon T (Aemon), 881413, "as a brother of the Night's Watch."  "This is no concern of Maester Aemon;" Chett"
Chett (Chett), Aemon T (Aemon), 882012, "Ghost at Rast's throat. Maester Aemon listened silently; blind eyes fixed on the fire; but Chett"
Chett (Chett), Aemon T (Aemon), 882499, "what you say is true."  "Maybe it is so;" Maester Aemon said. "Tell me; Chett"
Aemon T (Aemon), Luwin (Maester Luwin), 882924, "once I asked Maester Luwin why he wore a chain around his throat."  Maester Aemon"
