Tom Encounters:
Arya S (Arya), Tom (Fat Tom), 418184, "played monsters-and-maidens and hide-the-treasure and come-into-my-castle with their children. Fat Tom used to call her �Arya"
Tom (Fat Tom), Septa M (Septa Mordane), 419859, "and Septa Mordane called loudly after her, her voice rising higher and higher.  Fat Tom"
Arya S (Arya), Tom (Fat Tom), 420264, "Fat Tom huffed and puffed behind her.  Her bedchamber was the only place that Arya"
Tom (Fat Tom), Septa M (Septa Mordane), 420518, "dropped the heavy crossbar, nobody could get into her room, not Septa Mordane or Fat Tom"
Sansa S (Sansa), Tom (Fat Tom), 420527, "heavy crossbar, nobody could get into her room, not Septa Mordane or Fat Tom or Sansa"
Jory C (Jory), Tom (Fat Tom), 420535, "nobody could get into her room, not Septa Mordane or Fat Tom or Sansa or Jory"
Sandor C (Hound), Tom (Fat Tom), 420548, "into her room, not Septa Mordane or Fat Tom or Sansa or Jory or the Hound"
Tom (Fat Tom), Jeyne P (Jeyne), 420831, "her fault, everything bad that had happened. Sansa said so, and Jeyne too.  Fat Tom"
Tom (Fat Tom), Sansa S (Sansa), 420831, "her fault, everything bad that had happened. Sansa said so, and Jeyne too.  Fat Tom"
Arya S (Arya), Tom (Fat Tom), 420863, "happened. Sansa said so, and Jeyne too.  Fat Tom was knocking on her door. �Arya"
Arya S (Arya), Tom (Fat Tom), 421037, "moment later she heard him going away. Fat Tom was always easy to fool.  Arya"
Tom (Fat Tom), Harwin (Harwin), 460255, "and Ser Rodrik and Vayon Poole had gone too, and Hullen and Harwin and Fat Tom"
Tom (Fat Tom), Hullen (Hullen), 460255, "and Ser Rodrik and Vayon Poole had gone too, and Hullen and Harwin and Fat Tom"
Tom (Fat Tom), Rodrik C (Ser Rodrik), 460255, "and Ser Rodrik and Vayon Poole had gone too, and Hullen and Harwin and Fat Tom"
Tom (Fat Tom), Vayon P (Vayon Poole), 460255, "and Ser Rodrik and Vayon Poole had gone too, and Hullen and Harwin and Fat Tom"
Robb S (Robb), Tom (Fat Tom), 460294, "and Hullen and Harwin and Fat Tom and a quarter of the guard.  Only Robb"
Rickon S (Rickon), Tom (Fat Tom), 460310, "Harwin and Fat Tom and a quarter of the guard.  Only Robb and baby Rickon"
Desmond (Desmond), Tom (Tomard), 536940, "behind him frequently as they made their way through the crowded city streets. Tomard and Desmond"
Tom (Fat Tom), Harwin (Harwin), 678271, "help your hearing?�  Her father was alone in the solar when Harwin and Fat Tom"
Tom (Fat Tom), Arya S (Arya), 684311, " Arya had no choice but to go with him, wishing it had been Fat Tom"
Petyr B (Lord Baelish), Tom (Tomard), 698306, "once.�  Poole had no sooner taken his leave than Tomard announced a visitor. �Lord Baelish"
Eddard S (Ned), Tom (Tomard), 698332, "taken his leave than Tomard announced a visitor. �Lord Baelish to see you, m�lord.�  Ned"
