Alyn Encounters:
Alyn (Alyn), Roose (Roose), 386883, "boyish. Grunt, who had lost his tongue for speaking carelessly in Lord Roose�s hearing. Sour Alyn"
Skinner (Skinner), Alyn (Alyn), 386892, "Grunt, who had lost his tongue for speaking carelessly in Lord Roose�s hearing. Sour Alyn. Skinner"
Dick (Dick), Alyn (Alyn), 386905, "had lost his tongue for speaking carelessly in Lord Roose�s hearing. Sour Alyn. Skinner. Yellow Dick"
Theon (Reek), Alyn (Alyn), 386958, "Roose�s hearing. Sour Alyn. Skinner. Yellow Dick. Farther down, below the salt, were others that Reek"
Alyn (Alyn), Hother (Whoresbane), 616446, "Whoresbane was with him, along with half a dozen of his favorites, Skinner and Sour Alyn"
Alyn (Alyn), Skinner (Skinner), 616446, "Whoresbane was with him, along with half a dozen of his favorites, Skinner and Sour Alyn"
Damon (Damon), Alyn (Alyn), 616456, "with him, along with half a dozen of his favorites, Skinner and Sour Alyn and Damon"
Alyn (Alyn), Damon (Damon), 616942, "They were such stubborn foes.� Lord Ramsay�s pale eyes shone. �You must be starved. Damon, Alyn"
Alyn (Alyn), Ramsay (Lord Ramsay), 616942, "They were such stubborn foes.� Lord Ramsay�s pale eyes shone. �You must be starved. Damon, Alyn"
Skinner (Skinner), Alyn (Alyn), 617014, "Alyn, see to them. Wine and ale, and all the food that they can eat. Skinner"
Alyn (Alyn), Skinner (Skinner), 987712, "the way, with the girls baying and barking all around him. Behind came Skinner, Sour Alyn"
Damon (Damon), Alyn (Alyn), 987723, "with the girls baying and barking all around him. Behind came Skinner, Sour Alyn, and Damon"
Alyn (Alyn), Ramsay (Ramsay), 996058, "hall without a word. �Unchain Reek and take him with you,� Ramsay growled at Sour Alyn"
Alyn (Alyn), Theon (Reek), 996058, "hall without a word. �Unchain Reek and take him with you,� Ramsay growled at Sour Alyn"
Roose (Roose), Alyn (Alyn), 996136, "but his father waved a pale hand and said, �No, leave him.�  Even Lord Roose"
Alyn (Alyn), Theon (Reek), 1006035, "Reek moved like an old man. His flesh hung loosely on his bones, and Sour Alyn"
Skinner (Skinner), Alyn (Alyn), 1008713, "me and keep his secrets.� Bolton chuckled. �As if he had secrets. Sour Alyn, Luton, Skinner"
Alyn (Alyn), Theon (Reek), 1173477, "five fingers hard as iron digging deep into his flesh. �You�re wanted, Reek,� said Sour Alyn"
Dick (Dick), Alyn (Alyn), 1173544, "Reek,� said Sour Alyn, his breath foul with the smell from his rotten teeth. Yellow Dick"
Damon (Damon), Alyn (Alyn), 1173554, "Sour Alyn, his breath foul with the smell from his rotten teeth. Yellow Dick and Damon"
Ramsay (Ramsay), Alyn (Alyn), 1266016, "been seen outside her chambers since her wedding night. Sour Alyn had been saying that Ramsay"
Stannis (Stannis), Alyn (Alyn), 1280321, "lute again, whilst one of his washerwomen coaxed a sword from Sour Alyn and mimed Stannis"
Theon (Theon), Alyn (Alyn), 1280356, "washerwomen coaxed a sword from Sour Alyn and mimed Stannis slashing at the snowflakes.  Theon"
Alyn (Alyn), Dick (Dick), 1425568, "once. The man spoke too loudly, and in the hearing of Yellow Dick and Sour Alyn"
Ramsay (Lord Ramsay), Alyn (Alyn), 1425617, "hearing of Yellow Dick and Sour Alyn and Ben Bones. When the tale reached Lord Ramsay"
Alyn (Alyn), Skinner (Skinner), 1426739, "was carried across the bridge and up the steps, still protesting. Then Skinner and Sour Alyn"
Alyn (Alyn), Eddard (Lord Eddard), 1599468, "Jory, old Ser Rodrik, Lord Eddard, Harwin and Hullen, Cayn and Desmond and Fat Tom, Alyn"
Alyn (Alyn), Rodrik (Ser Rodrik), 1599468, "Jory, old Ser Rodrik, Lord Eddard, Harwin and Hullen, Cayn and Desmond and Fat Tom, Alyn"
Mikken (Mikken), Alyn (Alyn), 1599506, "Harwin and Hullen, Cayn and Desmond and Fat Tom, Alyn with his dreams of knighthood, Mikken"
Ramsay (Lord Ramsay), Alyn (Alyn), 1600071, "must wish us well. Grunt had no tongue and Sour Alyn had no wits, Lord Ramsay"
Alyn (Alyn), Arya (Arya), 1600314, "for the Lady Arya,� Theon told them.  �Try a wash yourself, Reek,� said Sour Alyn"
Alyn (Alyn), Theon (Reek), 1600314, "for the Lady Arya,� Theon told them.  �Try a wash yourself, Reek,� said Sour Alyn"
Theon (Theon), Alyn (Alyn), 1600475, "was meant to be a laugh. But Alyn unlocked the door to the bedchamber, and Theon"
Alyn (Alyn), Theon (Reek), 1605132, "Frenya opened the bedchamber door.  �You give her a good wash, Reek?� asked Sour Alyn"
Rowan (Rowan), Alyn (Alyn), 1606394, "and Sour Alyn did not bear thinking about.  Not ten yards from the door, Rowan"
