Rakharo Encounters:
Rakharo (Rakharo), Aggo (Aggo), 757794, "Viserys said � in the Common Tongue. He glanced over his shoulder at Aggo and Rakharo"
Rakharo (Rakharo), Viserys T (Viserys), 757794, "Viserys said � in the Common Tongue. He glanced over his shoulder at Aggo and Rakharo"
Rakharo (Rakharo), Quaro (Quaro), 1156285, "disappointed; but Quaro liked his sausage so well he decided to have another one; and Rakharo"
Daenerys T (Dany), Rakharo (Rakharo), 1156344, "have another one; and Rakharo had to outdo him and eat three more; belching loudly. Dany"
Rakharo (Rakharo), Aggo (Aggo), 1162201, "and not her belly.  The trader vaulted over the stall; darting between Aggo and Rakharo"
Quaro (Quaro), Rakharo (Rakharo), 1162208, "not her belly.  The trader vaulted over the stall; darting between Aggo and Rakharo. Quaro"
Rakharo (Rakharo), Aggo (Aggo), 1311624, "to curses as the horsemen reached for weapons; but by then Quaro and Aggo and Rakharo"
Rakharo (Rakharo), Quaro (Quaro), 1311624, "to curses as the horsemen reached for weapons; but by then Quaro and Aggo and Rakharo"
Aggo (Aggo), Rakharo (Rakharo), 1311649, "reached for weapons; but by then Quaro and Aggo and Rakharo were there. She saw Aggo"
Rakharo (Rakharo), Drogo (Khal Drogo), 1397581, "speak; so it shall be done. Call your servants."  Khal Drogo writhed feebly as Rakharo"
Quaro (Quaro), Rakharo (Rakharo), 1397591, "it shall be done. Call your servants."  Khal Drogo writhed feebly as Rakharo and Quaro"
Quaro (Quaro), Rakharo (Rakharo), 1398663, "courage. This is the same. The same."  The stallion kicked and reared as Rakharo; Quaro"
Aggo (Aggo), Rakharo (Rakharo), 1398673, "is the same. The same."  The stallion kicked and reared as Rakharo; Quaro; and Aggo"
Quaro (Quaro), Rakharo (Rakharo), 1403044, "protect the child within. "Stop him;" she commanded her khas; "kill him."  Rakharo and Quaro"
Rakharo (Rakharo), Daenerys T (Dany), 1405442, "pleading for water as he died. Dany cried out for help; but no one heard. Rakharo"
Haggo (Haggo), Rakharo (Rakharo), 1405461, "as he died. Dany cried out for help; but no one heard. Rakharo was fighting Haggo"
Jhogo (Jhogo), Rakharo (Rakharo), 1405499, "for help; but no one heard. Rakharo was fighting Haggo; arakh dancing with arakh until Jhogo"
Haggo (Haggo), Rakharo (Rakharo), 1405747, "Rakharo sprang forward; howling; swinging his arakh down with both hands through the top of Haggo"
Rakharo (Rakharo), Aggo (Aggo), 1491255, "wine and water; and Jhogo moved close to help Ser Jorah support her. Aggo and Rakharo"
Rakharo (Rakharo), Jhogo (Jhogo), 1491255, "wine and water; and Jhogo moved close to help Ser Jorah support her. Aggo and Rakharo"
Rakharo (Rakharo), Jorah M (Ser Jorah), 1491255, "wine and water; and Jhogo moved close to help Ser Jorah support her. Aggo and Rakharo"
Rakharo (Rakharo), Daenerys T (Khaleesi), 1492452, "the sick. And we who swore. We remain."  "They took Khal Drogo's herds; Khaleesi;" Rakharo"
Rakharo (Rakharo), Drogo (Khal Drogo), 1492452, "the sick. And we who swore. We remain."  "They took Khal Drogo's herds; Khaleesi;" Rakharo"
Daenerys T (Dany), Rakharo (Rakharo), 1575302, "these words. Only a man can lead a khalasar or name a ko."  "Rakharo;" Dany"
Drogo (Khal Drogo), Rakharo (Rakharo), 1580852, "help him."  The godswife did not cry out as they dragged her to Khal Drogo"
Rakharo (Rakharo), Aggo (Aggo), 1588262, "the smoking earth. "Blood of my blood;" she heard Aggo echo. "Blood of my blood;" Rakharo"
