Ogo Encounters:
Jommo (Jommo), Ogo (Khal Ogo), 964074, "the wise women came the others; Khal Ogo and his son, the khalakka Fogo, Khal Jommo"
Ogo (Khal Ogo), Drogo (Khal Drogo), 968845, "Khal Drogo dismounted and took his place on the high bench. Khal Jommo and Khal Ogo"
Ogo (Khal Ogo), Jommo (Jommo), 968845, "Khal Drogo dismounted and took his place on the high bench. Khal Jommo and Khal Ogo"
Ogo (Khal Ogo), Drogo (Khal Drogo), 975456, "Drogo was saying something to the other khals beside him. Khal Jommo grinned, and Khal Ogo"
Ogo (Khal Ogo), Jommo (Jommo), 975456, "Drogo was saying something to the other khals beside him. Khal Jommo grinned, and Khal Ogo"
Viserys T (Viserys), Ogo (Khal Ogo), 975516, "Jommo grinned, and Khal Ogo began to guffaw loudly.  The sound of laughter made Viserys"
Drogo (Khal Drogo), Ogo (Khal Ogo), 975543, "began to guffaw loudly.  The sound of laughter made Viserys lift his eyes. �Khal Drogo"
Daenerys T (Dany), Ogo (Khal Ogo), 1305489, "black with flies, arrow shafts bristling from each carcass. Khal Ogo�s riders had done that, Dany"
Drogo (Drogo), Ogo (Khal Ogo), 1305511, "bristling from each carcass. Khal Ogo�s riders had done that, Dany knew; no man of Drogo"
Ogo (Khal Ogo), Jorah M (Ser Jorah), 1307854, "few cuts,� Ser Jorah answered, �nothing of consequence. He slew two khals this day. Khal Ogo"
Drogo (Khal Drogo), Ogo (Ogo), 1307982, "khal when Ogo fell. His bloodriders cut the bells from their hair, and now Khal Drogo"
Ogo (Ogo), Drogo (Khal Drogo), 1308027, "bells from their hair, and now Khal Drogo�s every step rings louder than before.�  Ogo"
Drogo (Khal Drogo), Ogo (Ogo), 1308361, "was different out in the grass. Ogo�s khalasar had been attacking the town when Khal Drogo"
Jorah M (Ser Jorah), Ogo (Ogo), 1309130, "her heart and rode on toward the gate.  �Most of Ogo�s riders fled,� Ser Jorah"
Drogo (Khal Drogo), Ogo (Khal Ogo), 1314445, " �Is scratch, moon of life, from arakh of one bloodrider to Khal Ogo,� Khal Drogo"
Ogo (Ogo), Drogo (Khal Drogo), 1314500, "Khal Ogo,� Khal Drogo said in the Common Tongue. �I kill him for it, and Ogo"
Daenerys T (Dany), Ogo (Ogo), 1321129, "of blood ran down his breast, from where Ogo�s arakh had cut off his nipple. Dany"
Aggo (Aggo), Ogo (Khal Ogo), 1571795, "arakh he had used to slay Khal Ogo and his son, a mighty dragonbone bow. Aggo"
Drogo (Drogo), Ogo (Khal Ogo), 1571830, "Khal Ogo and his son, a mighty dragonbone bow. Aggo would have added the weapons Drogo"
