Meryn T Encounters:
Meryn T (Meryn), Boros B (Boros), 144995, "fascination, never quite daring to speak to them. Ser Boros was a bald man with a jowly face, and Ser Meryn"
Jaime L (Jaime), Meryn T (Meryn), 145052, "bald man with a jowly face, and Ser Meryn had droopy eyes and a beard the color of rust. Ser Jaime"
Jaime L (Jaime Lannister), Meryn T (Meryn), 145062, "man with a jowly face, and Ser Meryn had droopy eyes and a beard the color of rust. Ser Jaime Lannister"
Meryn T (Meryn), Boros B (Boros), 207083, "is full of ears. Besides, I want to ride out and taste this country of yours.� Ser Boros and Ser Meryn"
Eddard S (Ned), Meryn T (Meryn), 207129, "ride out and taste this country of yours.� Ser Boros and Ser Meryn waited behind him with a dozen guardsmen, Ned"
Meryn T (Meryn), Alyn (Alyn), 570441, "king gave him the victory. Alyn and Harwin fared less well; Harwin was unhorsed in his first tilt by Ser Meryn"
Meryn T (Meryn), Harwin (Harwin), 570441, "king gave him the victory. Alyn and Harwin fared less well; Harwin was unhorsed in his first tilt by Ser Meryn"
Alyn (Alyn), Meryn T (Meryn), 570471, "Alyn and Harwin fared less well; Harwin was unhorsed in his first tilt by Ser Meryn of the Kingsguard, while Alyn"
Balon S (Ser Balon), Meryn T (Meryn), 570489, "less well; Harwin was unhorsed in his first tilt by Ser Meryn of the Kingsguard, while Alyn fell to Ser Balon"
Balon S (Balon Swann), Meryn T (Meryn), 570495, "well; Harwin was unhorsed in his first tilt by Ser Meryn of the Kingsguard, while Alyn fell to Ser Balon Swann"
Meryn T (Meryn), Barristan S (Barristan), 593786, "the dawn.  �The king means to fight in the melee today,� Ser Barristan said as they were passing Ser Meryn"
Loras T (Loras), Meryn T (Meryn), 593841, "melee today,� Ser Barristan said as they were passing Ser Meryn�s shield, its paint sullied by a deep gash where Loras"
Loras T (Loras Tyrell), Meryn T (Meryn), 593848, "today,� Ser Barristan said as they were passing Ser Meryn�s shield, its paint sullied by a deep gash where Loras Tyrell"
Meryn T (Meryn), Barristan S (Barristan), 627517, "these seven, only Ser Barristan Selmy is made of the true steel, and Selmy is old. Ser Boros and Ser Meryn"
