Chayle Encounters:
Chayle (Septon Chayle), Bran S (Bran), 127642, "comet meant, she answered, �Blood and fire, boy, and nothing sweet.�  Bran asked Septon Chayle"
Catelyn S (Catelyn), Chayle (Septon Chayle), 886965, "an altar to each. In Winterfell, Septon Chayle hung carved masks from each wall. Here Catelyn"
Wendel M (Wendel), Chayle (Septon Chayle), 887012, "Chayle hung carved masks from each wall. Here Catelyn found only rough charcoal drawings. Ser Wendel"
Chayle (Septon Chayle), Alebelly (Alebelly), 933358, "and drowned.�  �We have to tell them,� Bran said. �Alebelly and Mikken, and Septon Chayle"
Chayle (Septon Chayle), Bran S (Bran), 933358, "and drowned.�  �We have to tell them,� Bran said. �Alebelly and Mikken, and Septon Chayle"
Chayle (Septon Chayle), Mikken (Mikken), 933358, "and drowned.�  �We have to tell them,� Bran said. �Alebelly and Mikken, and Septon Chayle"
Bran S (Bran), Chayle (Septon Chayle), 936609, "see fit,� Septon Chayle said quietly, �though I scarcely think it likely that I�ll drown, Bran"
Chayle (Septon Chayle), Alebelly (Alebelly), 940072, "the water would flow over our walls. He saw Alebelly drowned, and Mikken and Septon Chayle"
Chayle (Septon Chayle), Mikken (Mikken), 940072, "the water would flow over our walls. He saw Alebelly drowned, and Mikken and Septon Chayle"
Rodrik C (Ser Rodrik), Chayle (Septon Chayle), 940090, "over our walls. He saw Alebelly drowned, and Mikken and Septon Chayle too.�  Ser Rodrik"
Chayle (Chayle), Benfred T (Benfred), 1288119, "that unfair. Mikken had killed himself with his mouth, just as Benfred had. As for Chayle"
Chayle (Chayle), Mikken (Mikken), 1288119, "that unfair. Mikken had killed himself with his mouth, just as Benfred had. As for Chayle"
Chayle (Chayle), Mikken (Mikken), 1442863, "all the others who had ridden south to King�s Landing never to return. Mikken and Chayle"
Benfred T (Benfred), Chayle (Chayle), 1442925, "never to return. Mikken and Chayle sat together, one dripping blood and the other water. Benfred"
