Drogo Encounters:
Viserys (Viserys), Drogo (Drogo), 167631, "to Khal Drogo ��  �Dothraki neither buy nor sell. Say rather that her brother Viserys"
Drogo (Drogo), Viserys (Viserys), 167649, " �Dothraki neither buy nor sell. Say rather that her brother Viserys gave her to Drogo"
Viserys (Viserys), Drogo (Drogo), 167717, "gave her to Drogo to win the khal�s friendship. A vain young man, and greedy. Viserys"
Daenerys (Daenerys), Drogo (Drogo), 707546, "Oh, and my white lion�s pelt.� She always felt safer wrapped in Drogo�s lionskin.  Daenerys"
Drogo (Drogo), Barristan (Barristan), 955576, "Barristan did not dispute her, Dany closed her eyes. Gods, she prayed, you took Khal Drogo"
Drogo (Drogo), Daenerys (Dany), 955576, "Barristan did not dispute her, Dany closed her eyes. Gods, she prayed, you took Khal Drogo"
Drogo (Drogo), Hizdahr (Hizdahr zo Loraq), 1126655, "as well? �Hizdahr zo Loraq may inspect my women�s parts after we are wed.� Khal Drogo"
Daenerys (Daenerys), Drogo (Drogo), 1331451, "would. Khal Drogo had been her sun-and-stars, but he had been dead so long that Daenerys"
Belwas (Belwas), Drogo (Drogo), 1616508, "marriage to Khal Drogo and gave me my dragon eggs. Who sent me you, and Belwas"
Groleo (Groleo), Drogo (Drogo), 1616520, "Khal Drogo and gave me my dragon eggs. Who sent me you, and Belwas, and Groleo"
Drogo (Drogo), Daenerys (Dany), 2189180, "had murdered Rhaego in her womb, and Dany had smothered the empty shell of Khal Drogo"
Pono (Pono), Drogo (Drogo), 2189260, "of Khal Drogo with her own two hands. Afterward Drogo�s great khalasar had shattered. Ko Pono"
Daenerys (Dany), Drogo (Drogo), 2189593, "of her dragons amidst the fire and smoke of Khal Drogo�s funeral pyre had spared Dany"
Drogo (Drogo), Daenerys (Dany), 2213664, "Through the grass came a soft silvery tinkling.  Bells, Dany thought, smiling, remembering Khal Drogo"
Daenerys (Dany), Drogo (Drogo), 2213979, "Khal Drogo will return to me.  But none of those things had happened. Bells, Dany"
