Groleo Encounters:
Barristan (Barristan), Groleo (Groleo), 501554, "did her best to give them justice.  Late that afternoon Admiral Groleo and Ser Barristan"
Daenerys (Dany), Groleo (Groleo), 501606, "Late that afternoon Admiral Groleo and Ser Barristan returned from their inspection of the galleys. Dany"
Groleo (Groleo), Belwas (Belwas), 502195, "stood behind her with his huge arms crossed. Dany would not lack for counsel.  Groleo"
Groleo (Groleo), Daenerys (Dany), 502195, "stood behind her with his huge arms crossed. Dany would not lack for counsel.  Groleo"
Barristan (Barristan), Groleo (Groleo), 505732, "was aghast. �We must accept these ships. If we refuse this gift ��  Ser Barristan"
Groleo (Groleo), Daenerys (Dany), 1556351, "to the siege camp: Hizdahr�s sister, two of his cousins, Dany�s bloodrider Jhogo, her admiral Groleo"
Groleo (Groleo), Hizdahr (Hizdahr), 1556351, "to the siege camp: Hizdahr�s sister, two of his cousins, Dany�s bloodrider Jhogo, her admiral Groleo"
Groleo (Groleo), Jhogo (Jhogo), 1556351, "to the siege camp: Hizdahr�s sister, two of his cousins, Dany�s bloodrider Jhogo, her admiral Groleo"
Daario (Daario), Groleo (Groleo), 1556391, "two of his cousins, Dany�s bloodrider Jhogo, her admiral Groleo, the Unsullied captain Hero, and Daario"
Groleo (Groleo), Belwas (Belwas), 1616520, "Khal Drogo and gave me my dragon eggs. Who sent me you, and Belwas, and Groleo"
Groleo (Groleo), Drogo (Drogo), 1616520, "Khal Drogo and gave me my dragon eggs. Who sent me you, and Belwas, and Groleo"
Groleo (Groleo), Daario (Naharis), 1712897, "stripped of his command. The Unsullied had withdrawn to their barracks. Jhogo, Daario Naharis, Admiral Groleo"
Groleo (Groleo), Jhogo (Jhogo), 1712897, "stripped of his command. The Unsullied had withdrawn to their barracks. Jhogo, Daario Naharis, Admiral Groleo"
Aggo (Aggo), Groleo (Groleo), 1712964, "Jhogo, Daario Naharis, Admiral Groleo, and Hero of the Unsullied remained hostages of the Yunkai�i. Aggo"
Rakharo (Rakharo), Groleo (Groleo), 1712976, "Naharis, Admiral Groleo, and Hero of the Unsullied remained hostages of the Yunkai�i. Aggo and Rakharo"
Barristan (Barristan), Groleo (Groleo), 1849237, "the seneschal approached the head, lifted it delicately by the hair. �Admiral Groleo.�  Ser Barristan"
Groleo (Groleo), Yurkhaz (Yurkhaz zo Yunzak), 1851202, "who perished cruelly whilst a guest of Meereen. Blood must pay for blood.� �  Groleo"
Jhogo (Jhogo), Groleo (Groleo), 1851290, "Groleo had a wife back in Pentos. Children, grandchildren. Why him, of all the hostages? Jhogo"
Groleo (Groleo), Daario (Naharis), 1851355, "him, of all the hostages? Jhogo, Hero, and Daario Naharis all commanded fighting men, but Groleo"
Groleo (Groleo), Jhogo (Jhogo), 1851355, "him, of all the hostages? Jhogo, Hero, and Daario Naharis all commanded fighting men, but Groleo"
Groleo (Groleo), Skahaz (Shavepate), 2052768, "it would be my way.�  �I agreed,� the Shavepate grumbled, �but that was before Groleo"
Barristan (Barristan), Groleo (Groleo), 2052836, "was before Groleo. The head. The slavers have no honor.�  �We do,� said Ser Barristan"
Skahaz (Shavepate), Groleo (Groleo), 2052852, "The head. The slavers have no honor.�  �We do,� said Ser Barristan.  The Shavepate"
Skahaz (Skahaz), Groleo (Groleo), 2071103, "one of the locusts replied.  �I have more locusts if you need them,� said Skahaz"
Barristan (Barristan), Groleo (Groleo), 2071867, "of their patchwork cloaks, one was a rat, the other a bull.  �Groleo,� Ser Barristan"
Groleo (Groleo), Barristan (Barristan), 2071882, "cloaks, one was a rat, the other a bull.  �Groleo,� Ser Barristan said.  �Groleo"
Barristan (Barristan), Groleo (Groleo), 2071972, "�Groleo,� the bull returned. �Third hall to the right.� The rat unlocked the chain. Ser Barristan"
Groleo (Groleo), Daario (Daario), 2193471, "hostage to ensure no harm came to the Yunkish captains. Daario and Hero, Jhogo and Groleo"
Groleo (Groleo), Jhogo (Jhogo), 2193471, "hostage to ensure no harm came to the Yunkish captains. Daario and Hero, Jhogo and Groleo"
Hizdahr (Hizdahr), Groleo (Groleo), 2193493, "harm came to the Yunkish captains. Daario and Hero, Jhogo and Groleo, and three of Hizdahr"
