char 1, char2, index, text
Cressen (Maester-Cressen), Pylos (Pylos), 1904, "many to deny. What does it all mean? he wanted to cry.  "Maester-Cressen; we have visitors." Pylos"
Pylos (Pylos), Cressen (Cressen), 1949, "he wanted to cry.  "Maester-Cressen; we have visitors." Pylos spoke softly; as if loath to disturb Cressen"
Pylos (Pylos), Cressen (Cressen), 2435, "my chair and show them in."  Taking his arm; Pylos led him inside. In his youth; Cressen"
Pylos (Pylos), Stannis-Baratheon (Lord-Stannis), 2733, "Last year when he took ill; the Citadel had sent Pylos out from Oldtown; mere days before Lord-Stannis"
Stannis-Baratheon (Lord-Stannis), Cressen (Cressen), 2808, "Lord-Stannis had closed the isle ;  to help him in his labors; it was said; but Cressen"
Cressen (Cressen), Pylos (Pylos), 2830, "isle ;  to help him in his labors; it was said; but Cressen knew the truth. Pylos"
Pylos (Pylos), Cressen (Cressen), 3809, "different voice; clang-a-dang bong-dong ring-a-ling clong clong clong.  "Who comes to see us so early; Pylos?" Cressen"
Pylos (Pylos), Cressen (Cressen), 4337, "and stony to the touch. "Pylos said we might see the white raven."  "Indeed you may;" Cressen"
Pylos (Maester-Pylos), Shireen-Baratheon (Lady-Shireen), 4717, "my failure. "Maester-Pylos; do me a kindness and bring the bird down from the rookery for the Lady-Shireen"
Shireen-Baratheon (Lady-Shireen), Pylos (Pylos), 4753, "and bring the bird down from the rookery for the Lady-Shireen."  "It would be my pleasure." Pylos"
Shireen-Baratheon (Shireen), Dalla (Dalla), 7240, "see; there is nothing to fear."  Shireen was unconvinced. "What about the thing in the sky? Dalla"
Dalla (Dalla), Matrice (Matrice), 7252, "is nothing to fear."  Shireen was unconvinced. "What about the thing in the sky? Dalla and Matrice"
Shireen-Baratheon (Shireen), Matrice (Matrice), 7252, "is nothing to fear."  Shireen was unconvinced. "What about the thing in the sky? Dalla and Matrice"
Matrice (Matrice), Dalla (Dalla), 7288, "unconvinced. "What about the thing in the sky? Dalla and Matrice were talking by the well; and Dalla"
Dalla (Dalla), Melisandre (red-woman), 7317, "in the sky? Dalla and Matrice were talking by the well; and Dalla said she heard the red-woman"
