Meryn T Encounters:
Meryn T (Meryn), Boros B (Boros), 144995, "speak to them. Ser Boros was a bald man with a jowly face, and Ser Meryn"
Jaime L (Jaime), Meryn T (Meryn), 145052, "face, and Ser Meryn had droopy eyes and a beard the color of rust. Ser Jaime"
Meryn T (Meryn), Boros B (Boros), 207083, "I want to ride out and taste this country of yours.� Ser Boros and Ser Meryn"
Eddard S (Ned), Meryn T (Meryn), 207129, "country of yours.� Ser Boros and Ser Meryn waited behind him with a dozen guardsmen, Ned"
Meryn T (Meryn), Alyn (Alyn), 570441, "Alyn and Harwin fared less well; Harwin was unhorsed in his first tilt by Ser Meryn"
Meryn T (Meryn), Harwin (Harwin), 570441, "Alyn and Harwin fared less well; Harwin was unhorsed in his first tilt by Ser Meryn"
Alyn (Alyn), Meryn T (Meryn), 570471, "well; Harwin was unhorsed in his first tilt by Ser Meryn of the Kingsguard, while Alyn"
Balon S (Ser Balon), Meryn T (Meryn), 570489, "in his first tilt by Ser Meryn of the Kingsguard, while Alyn fell to Ser Balon"
Meryn T (Meryn), Barristan S (Barristan), 593786, "means to fight in the melee today,� Ser Barristan said as they were passing Ser Meryn"
Loras T (Loras), Meryn T (Meryn), 593841, "as they were passing Ser Meryn�s shield, its paint sullied by a deep gash where Loras"
Meryn T (Meryn), Barristan S (Barristan Selmy), 627517, "Selmy is made of the true steel, and Selmy is old. Ser Boros and Ser Meryn"
Meryn T (Meryn), Boros B (Boros), 627517, "Selmy is made of the true steel, and Selmy is old. Ser Boros and Ser Meryn"
Meryn T (Meryn), Robert B (Robert), 841253, "in silence, or I�ll honor you again,� Robert vowed. He shouted for a guard. Ser Meryn"
Meryn T (Meryn), Boros B (Boros), 1032539, "left arms. Cersei Lannister and her two younger children stood behind Ser Boros and Ser Meryn"
Meryn T (Meryn), Cersei L (Cersei Lannister), 1032539, "left arms. Cersei Lannister and her two younger children stood behind Ser Boros and Ser Meryn"
Arya S (Arya), Meryn T (Meryn), 1042010, "Ser Meryn said. �This is no concern of yours.�  �My father wouldn�t send you,� Arya"
Syrio F (Syrio), Meryn T (Meryn), 1043258, "quick, for a dancing master,� said Ser Meryn.  �You are slow, for a knight,� Syrio"
Meryn T (Meryn), Arya S (Arya), 1045736, "the time Arya reached the back door that opened on the kitchen. She heard Ser Meryn"
Syrio F (Syrio), Meryn T (Meryn Trant), 1045822, "Ser Meryn Trant curse. �Bloody oafs,� he swore, drawing his longsword from its scabbard.  Syrio"
Syrio F (Syrio), Meryn T (Meryn), 1046332, "first sword of Braavos does not run,� he sang as Ser Meryn slashed at him. Syrio"
Meryn T (Meryn), Arya S (Arya), 1046552, "the wood ringing against the metal of helm, gauntlet, and gorget. Arya stood frozen. Ser Meryn"
Syrio F (Syrio), Meryn T (Meryn), 1046568, "ringing against the metal of helm, gauntlet, and gorget. Arya stood frozen. Ser Meryn advanced; Syrio"
Meryn T (Meryn), Boros B (Boros), 1224461, "speak. Finally he drew his sword.  Sansa heard someone gasp. Ser Boros and Ser Meryn"
Meryn T (Meryn), Sansa S (Sansa), 1224461, "speak. Finally he drew his sword.  Sansa heard someone gasp. Ser Boros and Ser Meryn"
Barristan S (Barristan), Meryn T (Meryn), 1224510, "heard someone gasp. Ser Boros and Ser Meryn moved forward to confront him, but Ser Barristan"
Varys (Varys), Meryn T (Meryn), 1240807, "my lord.�  �My daughters ��  �The younger girl escaped Ser Meryn and fled,� Varys"
Meryn T (Meryn), Joffrey B (Joffrey), 1464432, "corrected her. �I shall look for you in court.� He turned and left.  Ser Meryn"
Arys O (Arys), Meryn T (Meryn), 1464445, "shall look for you in court.� He turned and left.  Ser Meryn and Ser Arys"
Sandor C (Sandor), Meryn T (Meryn), 1464474, "court.� He turned and left.  Ser Meryn and Ser Arys followed him out, but Sandor"
Sandor C (Sandor), Meryn T (Meryn), 1467271, "do,� he replied.  �Yes � but you are no true knight, Ser Meryn.�  Sandor"
Sansa S (Sansa), Meryn T (Meryn), 1467313, "you are no true knight, Ser Meryn.�  Sandor Clegane would have laughed at that, Sansa"
Sansa S (Sansa), Meryn T (Meryn Trant), 1467525, "these. Ser Meryn Trant simply did not care.  The balcony was deserted save for Sansa"
Meryn T (Meryn), Sandor C (Hound), 1470195, "her at the base of the curving stairs. The Hound was with him, and Ser Meryn"
Sandor C (Hound), Meryn T (Meryn), 1471239, "Ser Meryn opened a door for them.  �Thank you, Your Grace,� she murmured. The Hound"
Meryn T (Meryn), Sansa S (Sansa), 1472244, " Sansa shook her head wildly. �I won�t. I won�t.�  �I can have Ser Meryn"
Meryn T (Meryn), Sansa S (Sansa), 1477065, "you smile and laugh.�  Sansa made herself smile, afraid that he would have Ser Meryn"
