Cersei L Encounters:
Robert B (Robert), Cersei L (Cersei), 46924, "the least, with all their retainers, and half again as many freeriders. Cersei and the children travel with them.�  �Robert"
Cersei L (Cersei), Robert B (Robert), 73618, "yours.�  By then the others were dismounting as well, and grooms were coming forward for their mounts. Robert�s queen, Cersei"
Robert B (Robert), Cersei L (Cersei), 84410, "so much as a by-your-leave. Cersei was furious.� He sighed deeply. �The boy is my namesake, did you know that? Robert"
Robert A (Robert Arryn), Cersei L (Cersei), 84416, "much as a by-your-leave. Cersei was furious.� He sighed deeply. �The boy is my namesake, did you know that? Robert Arryn"
Cersei L (Cersei), Jaime L (Jaime Lannister), 95528, "Rock. The Lion and the Imp; there was no mistaking which was which. Ser Jaime Lannister was twin to Queen Cersei"
Cersei L (Cersei), Tyrion L (Imp), 95528, "Rock. The Lion and the Imp; there was no mistaking which was which. Ser Jaime Lannister was twin to Queen Cersei"
Cersei L (Cersei), Tyrion L (Tyrion Lannister), 96179, "Tyrion Lannister, the youngest of Lord Tywin�s brood and by far the ugliest. All that the gods had given to Cersei"
Cersei L (Cersei), Tywin L (Tywin), 96179, "Tyrion Lannister, the youngest of Lord Tywin�s brood and by far the ugliest. All that the gods had given to Cersei"
Jaime L (Jaime), Cersei L (Cersei), 96189, "the youngest of Lord Tywin�s brood and by far the ugliest. All that the gods had given to Cersei and Jaime"
Tyrion L (Tyrion), Cersei L (Cersei), 96213, "Tywin�s brood and by far the ugliest. All that the gods had given to Cersei and Jaime, they had denied Tyrion"
Cersei L (Cersei), Jaime L (Jaime), 168515, "cold, cheerless meal had been laid out in the morning room of the Guest House. Jaime sat at table with Cersei"
Robert B (Robert), Cersei L (Cersei), 168576, "of the Guest House. Jaime sat at table with Cersei and the children, talking in low, hushed voices.  �Is Robert"
Tyrion L (Tyrion), Cersei L (Cersei), 168596, "House. Jaime sat at table with Cersei and the children, talking in low, hushed voices.  �Is Robert still abed?� Tyrion"
Cersei L (Cersei), Tyrion L (Tyrion), 170555, "as all that, surely,� Tyrion said. The servant brought his plate. He ripped off a chunk of black bread.  Cersei"
Tyrion L (Tyrion), Cersei L (Cersei), 170608, "plate. He ripped off a chunk of black bread.  Cersei was studying him warily. �What do you mean?�  Tyrion"
Tommen (Tommen), Cersei L (Cersei), 170657, " Cersei was studying him warily. �What do you mean?�  Tyrion gave her a crooked smile. �Why, only that Tommen"
Cersei L (Cersei), Jaime L (Jaime), 170895, "and Tommen smiled nervously, but it was not the children Tyrion was watching. The glance that passed between Jaime and Cersei"
Cersei L (Cersei), Tommen (Tommen), 170895, "and Tommen smiled nervously, but it was not the children Tyrion was watching. The glance that passed between Jaime and Cersei"
Cersei L (Cersei), Tyrion L (Tyrion), 170895, "and Tommen smiled nervously, but it was not the children Tyrion was watching. The glance that passed between Jaime and Cersei"
Tyrion L (Tyrion), Cersei L (Cersei), 171783, "but he will never walk again.�  �If he wakes,� Cersei repeated. �Is that likely?�  �The gods alone know,� Tyrion"
Cersei L (Cersei), Tyrion L (Tyrion), 172500, "follow those girls everywhere.�  Tyrion started on his fish. �Are you leaving soon, then?�  �Not near soon enough,� Cersei"
Tommen (Tommen), Cersei L (Cersei), 173125, "and piss off the edge of the world.�  Cersei stood abruptly. �The children don�t need to hear this filth. Tommen"
Myrcella (Myrcella), Cersei L (Cersei), 173135, "piss off the edge of the world.�  Cersei stood abruptly. �The children don�t need to hear this filth. Tommen, Myrcella"
Eddard S (Ned), Cersei L (Cersei), 208270, "I promise you, if that wretched thing breaks another axle, I�m going to burn it, and Cersei can walk!�  Ned"
Cersei L (Cersei), Robert B (Robert), 293998, " Robert was slumped in Darry�s high seat at the far end of the room, his face closed and sullen. Cersei"
Joffrey B (Joffrey), Cersei L (Cersei Lannister), 294072, "room, his face closed and sullen. Cersei Lannister and her son stood beside him. The queen had her hand on Joffrey"
Cersei L (Cersei), Robert B (Robert), 295423, "his voice ringing. �Why was she not brought to me at once?�  He spoke to Robert, but it was Cersei"
Cersei L (Cersei), Arya S (Arya), 298852, "Arya, and she did not seem to hear.  �The girl is as wild as that filthy animal of hers,� Cersei"
Robert B (Robert), Cersei L (Cersei Lannister), 298876, "did not seem to hear.  �The girl is as wild as that filthy animal of hers,� Cersei Lannister said. �Robert"
Cersei L (Cersei), Robert B (Robert), 298937, "wild as that filthy animal of hers,� Cersei Lannister said. �Robert, I want her punished.�  �Seven hells,� Robert swore. �Cersei"
Cersei L (Cersei), Robert B (Robert), 300264, " Robert�s face darkened with anger. �That would be a fine trick, without a wolf.�  �We have a wolf,� Cersei"
Eddard S (Ned), Cersei L (Cersei), 301672, "them for a long moment, then turned his eyes on his wife. �Damn you, Cersei,� he said with loathing.  Ned"
Sansa S (Sansa), Cersei L (Cersei), 301717, "turned his eyes on his wife. �Damn you, Cersei,� he said with loathing.  Ned stood, gently disengaging himself from Sansa"
Joffrey B (Prince Joffrey), Cersei L (Cersei Lannister), 302134, "Silence filled the hall.  �Where is the direwolf?� Cersei Lannister asked when her husband was gone. Beside her, Prince Joffrey"
Jon S (Jon), Cersei L (Cersei), 600387, "when I was winning this throne, or so dead as now that I�ve won it. And Cersei � I have Jon"
Jon A (Jon Arryn), Cersei L (Cersei), 600393, "I was winning this throne, or so dead as now that I�ve won it. And Cersei � I have Jon Arryn"
Lyanna (Lyanna), Cersei L (Cersei), 600447, "won it. And Cersei � I have Jon Arryn to thank for her. I had no wish to marry after Lyanna"
Cersei L (Cersei), Jon S (Jon), 600512, "I had no wish to marry after Lyanna was taken from me, but Jon said the realm needed an heir. Cersei"
Cersei L (Cersei), Lyanna (Lyanna), 600512, "I had no wish to marry after Lyanna was taken from me, but Jon said the realm needed an heir. Cersei"
Tywin L (Tywin), Cersei L (Cersei Lannister), 600583, "said the realm needed an heir. Cersei Lannister would be a good match, he told me, she would bind Lord Tywin"
Viserys T (Viserys), Cersei L (Cersei Lannister), 600604, "an heir. Cersei Lannister would be a good match, he told me, she would bind Lord Tywin to me should Viserys"
Cersei L (Cersei), Joffrey B (Joffrey), 601539, "king, how the singers would love me. You know what stops me? The thought of Joffrey on the throne, with Cersei"
Eddard S (Ned), Cersei L (Cersei), 601633, "with Cersei standing behind him whispering in his ear. My son. How could I have made a son like that, Ned"
Cersei L (Cersei), Jaime L (Kingslayer), 602733, "own to. Last tourney, he dumped the Kingslayer on his golden rump, you ought to have seen the look on Cersei"
Renly B (Renly), Cersei L (Cersei), 602777, "on his golden rump, you ought to have seen the look on Cersei�s face. I laughed till my sides hurt. Renly"
Cersei L (Cersei), Brandon S (Bran), 603784, "the Lannisters were behind the attack on Bran, prove that they had murdered Jon Arryn, this man would listen. Then Cersei"
Cersei L (Cersei), Jon A (Jon Arryn), 603784, "the Lannisters were behind the attack on Bran, prove that they had murdered Jon Arryn, this man would listen. Then Cersei"
Cersei L (Cersei), Jon S (Jon), 603784, "the Lannisters were behind the attack on Bran, prove that they had murdered Jon Arryn, this man would listen. Then Cersei"
Jaime L (Kingslayer), Cersei L (Cersei), 603815, "attack on Bran, prove that they had murdered Jon Arryn, this man would listen. Then Cersei would fall, and the Kingslayer"
Tywin L (Tywin), Cersei L (Cersei), 603843, "had murdered Jon Arryn, this man would listen. Then Cersei would fall, and the Kingslayer with her, and if Lord Tywin"
Robert B (Robert), Cersei L (Cersei), 603875, "would listen. Then Cersei would fall, and the Kingslayer with her, and if Lord Tywin dared to rouse the west, Robert"
Cersei L (Cersei), Robert B (Robert), 604411, "was determined not to miss the end of the jousting. As he saw Robert to his place, he noted that Cersei"
Eddard S (Ned), Cersei L (Cersei Lannister), 604502, "he noted that Cersei Lannister had chosen not to appear; the place beside the king was empty. That too gave Ned"
Cersei L (Cersei), Robert B (Robert), 621199, "be seventeen or eighteen now, he realized; older than Robert had been when he fathered her. A strange thought.  Cersei"
Cersei L (Cersei), Eddard S (Ned), 623562, "the wrong side.�  �The Lannisters,� Ned said. �The queen � no, I will not believe that, not even of Cersei"
Cersei L (Cersei), Joffrey B (King Joffrey), 624693, "of forgiveness. Good King Joffrey would have no choice but to pardon him.� The eunuch stroked his cheek. �Or perhaps Cersei"
Ilyn P (Ilyn), Cersei L (Cersei), 624712, "Joffrey would have no choice but to pardon him.� The eunuch stroked his cheek. �Or perhaps Cersei would let Ser Ilyn"
Ilyn P (Ilyn), Cersei L (Cersei), 626218, "has little love for sneaks and spies and eunuchs. If a day should come when Cersei whispers, �Kill that man,� Ilyn"
Varys (Varys), Cersei L (Cersei), 626293, "Cersei whispers, �Kill that man,� Ilyn Payne will snick my head off in a twinkling, and who will mourn poor Varys"
Cersei L (Cersei), Varys (Varys), 699305, "�Oh, I�m certain if you put your mind to it, you could come up with a few names. Varys, say. Cersei"
Robert B (Robert), Cersei L (Cersei), 699316, "certain if you put your mind to it, you could come up with a few names. Varys, say. Cersei. Or Robert"
Cersei L (Cersei), Tyrion L (Tyrion Lannister), 721366, " �My brother is undoubtedly arrogant,� Tyrion Lannister replied. �My father is the soul of avarice, and my sweet sister Cersei"
Cersei L (Cersei), Tywin L (Tywin), 746923, "of twins on a serving wench at Casterly Rock, three years ago when he went west for Lord Tywin�s tourney. Cersei"
Cersei L (Cersei), Eddard S (Ned Stark), 747163, "Stark grimaced. Ugly tales like that were told of every great lord in the realm. He could believe it of Cersei"
Robert B (Robert), Cersei L (Cersei Lannister), 747248, "could believe it of Cersei Lannister readily enough � but would the king stand by and let it happen? The Robert"
Cersei L (Cersei), Catelyn S (Catelyn Stark), 813241, "north against Winterfell instead. Did anyone outside the Vale even suspect where Catelyn Stark had taken him? He wondered what Cersei"
Robert B (Robert), Cersei L (Cersei), 813315, "had taken him? He wondered what Cersei would do when she heard. The king could order him freed, but would Robert"
Cersei L (Cersei), Tyrion L (Tyrion), 813421, "listen to his queen or his Hand? Tyrion had no illusions about the king�s love for his sister.  If Cersei"
Tyrion L (Tyrion), Cersei L (Cersei), 813498, "for his sister.  If Cersei kept her wits about her, she would insist the king sit in judgment of Tyrion"
Eddard S (Ned), Cersei L (Cersei), 813516, " If Cersei kept her wits about her, she would insist the king sit in judgment of Tyrion himself. Even Ned"
Tyrion L (Tyrion), Cersei L (Cersei), 813929, "the land. It would be the end of them. If only Cersei were clever enough to see that �  Tyrion"
Cersei L (Cersei), Eddard S (Ned), 836112, "queen with him.�  Ned pushed himself up higher, wincing as his leg trembled with pain. He had not expected Cersei"
Eddard S (Ned), Cersei L (Cersei Lannister), 836620, "his face already flushed from drink. Cersei Lannister entered behind him, a jeweled tiara in her hair.  �Your Grace,� Ned"
Cersei L (Cersei), Eddard S (Ned), 837452, " �I am not pleased, Ned,� Robert grumbled.  �By what right do you dare lay hands on my blood?� Cersei"
Cersei L (Cersei), Robert B (Robert), 837452, " �I am not pleased, Ned,� Robert grumbled.  �By what right do you dare lay hands on my blood?� Cersei"
Eddard S (Ned), Cersei L (Cersei), 837519, "dare lay hands on my blood?� Cersei demanded. �Who do you think you are?�  �The Hand of the King,� Ned"
Robert B (Robert), Cersei L (Cersei), 837807, " �Silence!� the king roared. �You asked him a question and he answered it.� Cersei subsided, cold with anger, and Robert"
Eddard S (Ned), Cersei L (Cersei), 837826, "roared. �You asked him a question and he answered it.� Cersei subsided, cold with anger, and Robert turned back to Ned"
Cersei L (Cersei), Jaime L (Jaime Lannister), 838489, "Lannister wished to chasten me. Am I to forget that?�  �My brother was not the cause of this quarrel,� Cersei"
Jaime L (Jaime), Cersei L (Cersei), 838575, "the cause of this quarrel,� Cersei told the king. �Lord Stark was returning drunk from a brothel. His men attacked Jaime"
Cersei L (Cersei), Robert B (Robert), 839585, "was hard to keep his temper. �The fool child is in love with you, Robert.�  The king glanced at Cersei"
Cersei L (Cersei), Robert B (Robert), 840642, " Robert�s face was dark with anger. �How many times must I tell you to hold your tongue, woman?�  Cersei"
Robert B (Robert), Cersei L (Cersei), 841444, "See her to her bedchamber.� The knight helped Cersei to her feet and led her out without a word.  Robert"
Cersei L (Cersei), Jaime L (Jaime), 853855, "or Ser Jaime, or the queen, or all of them together, I could not begin to say.� Lysa had named Cersei"
Cersei L (Cersei), Lysa A (Lysa), 853855, "or Ser Jaime, or the queen, or all of them together, I could not begin to say.� Lysa had named Cersei"
Tyrion L (Tyrion), Cersei L (Cersei), 853936, "to say.� Lysa had named Cersei in the letter she had sent to Winterfell, but now she seemed certain that Tyrion"
Cersei L (Cersei), Rodrik C (Ser Rodrik), 854265, "it.  Ser Rodrik tugged at his whiskers. �Poison, well � that could be the dwarf�s work, true enough. Or Cersei"
Jaime L (Kingslayer), Cersei L (Cersei), 854352, "the dwarf�s work, true enough. Or Cersei�s. It�s said poison is a woman�s weapon, begging your pardons, my lady. The Kingslayer"
Joffrey B (Prince Joffrey), Cersei L (Cersei), 935462, "me and spoiled my dress, the ivory silk, the one Queen Cersei gave me when I was betrothed to Prince Joffrey"
Cersei L (Cersei), Eddard S (Ned), 941956, "perfect teeth of hers. Ned was not near as confident of Robert as he pretended, but there was no reason Cersei"
