All Encounters:
Gared (Gared), Waymar R (Waymar Royce), 208, "dead frighten you?" Ser Waymar Royce asked with just the hint of a smile.  Gared"
Waymar R (Ser Waymar), Gared (Gared), 1017, "before us;" Gared pointed out. "Eight days; maybe nine. And night is falling."  Ser Waymar"
Waymar R (Ser Waymar), Gared (Gared), 6065, "Royce's destrier moved restlessly. "What do you think might have killed these men; Gared?" Ser Waymar"
Waymar R (Ser Waymar), Gared (Gared), 6979, "like sinking into a sea of warm milk. Peaceful; like."  "Such eloquence; Gared;" Ser Waymar"
Waymar R (Ser Waymar), Gared (Gared), 7116, ""I've had the cold in me too; lordling." Gared pulled back his hood; giving Ser Waymar"
Gared (Gared), Waymar R (Ser Waymar), 7378, "with a smile on his face."  Ser Waymar shrugged. "You ought dress more warmly; Gared"
Waymar R (Ser Waymar), Gared (Gared), 11103, "keep away;" Gared said. "Bears and direwolves and � and other things �"  Ser Waymar"
Gared (Gared), Waymar R (Ser Waymar), 11149, "and other things �"  Ser Waymar's mouth became a hard line. "No fire."  Gared"
Robert B (Robert), Waymar R (Waymar Royce), 18722, "winter lake; and the words were mocking.  Ser Waymar Royce found his fury. "For Robert"
Gared (Gared), Aemon T (Aemon), 20279, "it; and if not him; then surely that old bear Mormont or Maester Aemon. Would Gared"
Waymar R (Ser Waymar), Gared (Gared), 20353, "Gared still be waiting with the horses? He had to hurry.  Will rose. Ser Waymar"
Brandon S (Bran), Robert B (the king), 21200, "the king's justice done. It was the ninth year of summer; and the seventh of Bran"
Robb S (Robb), Brandon S (Bran), 21276, "Bran's life.  The man had been taken outside a small holdfast in the hills. Robb"
Mance R (Mance), Robb S (Robb), 21328, "small holdfast in the hills. Robb thought he was a wildling; his sword sworn to Mance"
Brandon S (Bran), Mance R (Rayder), 21375, "thought he was a wildling; his sword sworn to Mance Rayder; the King-beyond-the-Wall. It made Bran"
Nan (Old Nan), Brandon S (Bran), 21445, "It made Bran's skin prickle to think of it. He remembered the hearth tales Old Nan"
Robb S (Robb), Robert B (the king), 21879, "the holdfast wall awaiting the king's justice was old and scrawny; not much taller than Robb"
Jon S (Jon), Robb S (Robb), 22211, "father had the man cut down from the wall and dragged before them. Robb and Jon"
Brandon S (Bran), Jon S (Jon), 22257, "and dragged before them. Robb and Jon sat tall and still on their horses; with Bran"
