Halder Encounters:
Halder (Halder), Grenn (Grenn), 338398, "his sword like a dagger; Jeren was weak as a girl; Grenn slow and clumsy. Halder"
Halder (Halder), Grenn (Grenn), 407907, "learned to juggle yet?"  "No;" said Jon; smiling; "but Grenn held his own against Halder"
Halder (Halder), Jon S (Jon), 407907, "learned to juggle yet?"  "No;" said Jon; smiling; "but Grenn held his own against Halder"
Pyp (Pyp), Halder (Halder), 407929, " "No;" said Jon; smiling; "but Grenn held his own against Halder this morning; and Pyp"
Halder (Halder), Alliser T (Ser Alliser), 500698, "skin. "Let us hope you are not as inept as you look;" Ser Alliser said. "Halder"
Samwell T (Piggy), Halder (Halder), 500718, "you are not as inept as you look;" Ser Alliser said. "Halder; see what Ser Piggy"
Jon S (Jon), Halder (Halder), 500732, "inept as you look;" Ser Alliser said. "Halder; see what Ser Piggy can do."  Jon"
Halder (Halder), Jon S (Jon Snow), 500752, "look;" Ser Alliser said. "Halder; see what Ser Piggy can do."  Jon Snow winced. Halder"
Halder (Halder), Samwell T (Piggy), 500752, "look;" Ser Alliser said. "Halder; see what Ser Piggy can do."  Jon Snow winced. Halder"
Halder (Halder), Alliser T (Ser Alliser), 502081, "heavily again. "Ser Piggy is starting to grasp the notion;" Ser Alliser observed. "Again."  Halder"
Halder (Halder), Samwell T (Piggy), 502081, "heavily again. "Ser Piggy is starting to grasp the notion;" Ser Alliser observed. "Again."  Halder"
Jon S (Jon), Halder (Halder), 502163, "lifted the sword for another blow. "Cut us off a ham!" Rast urged; laughing.  Jon"
Halder (Halder), Jon S (Jon), 502193, "blow. "Cut us off a ham!" Rast urged; laughing.  Jon shook off Pyp's hand. "Halder"
Halder (Halder), Pyp (Pyp), 502193, "blow. "Cut us off a ham!" Rast urged; laughing.  Jon shook off Pyp's hand. "Halder"
Alliser T (Ser Alliser), Halder (Halder), 502233, "urged; laughing.  Jon shook off Pyp's hand. "Halder; enough."  Halder looked to Ser Alliser"
Halder (Halder), Jon S (Lord Snow), 502423, ""I remind you that I am the master-at-arms here; Lord Snow."  "Look at him; Halder"
Jon S (Jon), Halder (Halder), 502429, "remind you that I am the master-at-arms here; Lord Snow."  "Look at him; Halder;" Jon"
Alliser T (Ser Alliser), Halder (Halder), 502620, "beside the fat boy.  Halder lowered his sword. "He yielded;" he echoed.  Ser Alliser"
Samwell T (Lady Piggy), Halder (Halder), 503116, "Albett moved to join Halder. "Three of you ought to be sufficient to make Lady Piggy"
Halder (Halder), Jon S (Jon), 503797, "the others in a voice gone deceptively soft; but it was Jon who moved first. Halder"
Jon S (Jon), Halder (Halder), 503835, "it was Jon who moved first. Halder barely got his sword up in time.  Jon"
Halder (Halder), Jon S (Jon), 503981, "boy on the heels. Know your foe; Ser Rodrik had taught him once; Jon knew Halder"
Halder (Halder), Rodrik C (Ser Rodrik), 503981, "boy on the heels. Know your foe; Ser Rodrik had taught him once; Jon knew Halder"
Jon S (Jon), Halder (Halder), 504431, "into Halder's ribs; and was rewarded with a muffled grunt of pain. The counterstroke caught Jon"
Jon S (Jon), Halder (Halder), 504543, "Chainmail crunched; and pain flared up his neck; but for an instant Halder was unbalanced. Jon"
Halder (Halder), Dareon (Dareon), 505207, "enough for today." He walked away. The session was at an end.  Dareon helped Halder"
Samwell T (Samwell), Halder (Halder), 505869, "matted the fat boy's hair where Halder had split his helm asunder. "My name is Samwell"
Halder (Halder), Pyp (Pyp), 522181, "it was going to be. Pyp backed him; as he'd known he would; but when Halder"
Grenn (Grenn), Halder (Halder), 522225, "as he'd known he would; but when Halder spoke up; it was a pleasant surprise. Grenn"
Jon S (Jon), Halder (Halder), 522259, "Halder spoke up; it was a pleasant surprise. Grenn was anxious at the first; but Jon"
