Meryn T Encounters:
Meryn T (Meryn), Boros B (Boros), 144978, "speak to them. Ser Boros was a bald man with a jowly face; and Ser Meryn"
Jaime L (Jaime), Meryn T (Meryn), 145035, "face; and Ser Meryn had droopy eyes and a beard the color of rust. Ser Jaime"
Meryn T (Meryn), Boros B (Boros), 207066, "I want to ride out and taste this country of yours." Ser Boros and Ser Meryn"
Eddard S (Ned), Meryn T (Meryn), 207112, "country of yours." Ser Boros and Ser Meryn waited behind him with a dozen guardsmen; Ned"
Meryn T (Meryn), Alyn (Alyn), 570391, "Alyn and Harwin fared less well; Harwin was unhorsed in his first tilt by Ser Meryn"
Meryn T (Meryn), Harwin (Harwin), 570391, "Alyn and Harwin fared less well; Harwin was unhorsed in his first tilt by Ser Meryn"
Alyn (Alyn), Meryn T (Meryn), 570421, "well; Harwin was unhorsed in his first tilt by Ser Meryn of the Kingsguard; while Alyn"
Balon S (Ser Balon), Meryn T (Meryn), 570439, "in his first tilt by Ser Meryn of the Kingsguard; while Alyn fell to Ser Balon"
Meryn T (Meryn), Barristan S (Barristan), 593734, "means to fight in the melee today;" Ser Barristan said as they were passing Ser Meryn"
Loras T (Loras), Meryn T (Meryn), 593789, "as they were passing Ser Meryn's shield; its paint sullied by a deep gash where Loras"
Meryn T (Meryn), Barristan S (Barristan Selmy), 627463, "Selmy is made of the true steel; and Selmy is old. Ser Boros and Ser Meryn"
Meryn T (Meryn), Boros B (Boros), 627463, "Selmy is made of the true steel; and Selmy is old. Ser Boros and Ser Meryn"
Cersei L (the queen), Meryn T (Meryn), 627477, "of the true steel; and Selmy is old. Ser Boros and Ser Meryn are the queen"
Meryn T (Meryn), Robert B (Robert), 841175, "in silence; or I'll honor you again;" Robert vowed. He shouted for a guard. Ser Meryn"
Meryn T (Meryn), Boros B (Boros), 1032442, "left arms. Cersei Lannister and her two younger children stood behind Ser Boros and Ser Meryn"
Meryn T (Meryn), Cersei L (Cersei Lannister), 1032442, "left arms. Cersei Lannister and her two younger children stood behind Ser Boros and Ser Meryn"
Meryn T (Meryn), Robert B (the king), 1041397, "eyes and rust-colored whiskers from when he had come to Winterfell with the king: Ser Meryn"
Arya S (Arya), Meryn T (Meryn), 1041913, "Ser Meryn said. "This is no concern of yours."  "My father wouldn't send you;" Arya"
Syrio F (Syrio), Meryn T (Meryn), 1043161, "quick; for a dancing master;" said Ser Meryn.  "You are slow; for a knight;" Syrio"
Meryn T (Meryn), Arya S (Arya), 1045639, "the time Arya reached the back door that opened on the kitchen. She heard Ser Meryn"
Syrio F (Syrio), Meryn T (Meryn Trant), 1045725, "Ser Meryn Trant curse. "Bloody oafs;" he swore; drawing his longsword from its scabbard.  Syrio"
Syrio F (Syrio), Meryn T (Meryn), 1046235, "first sword of Braavos does not run;" he sang as Ser Meryn slashed at him. Syrio"
Meryn T (Meryn), Arya S (Arya), 1046455, "the wood ringing against the metal of helm; gauntlet; and gorget. Arya stood frozen. Ser Meryn"
Syrio F (Syrio), Meryn T (Meryn), 1046471, "ringing against the metal of helm; gauntlet; and gorget. Arya stood frozen. Ser Meryn advanced; Syrio"
Meryn T (Meryn), Boros B (Boros), 1224352, "speak. Finally he drew his sword.  Sansa heard someone gasp. Ser Boros and Ser Meryn"
Meryn T (Meryn), Sansa S (Sansa), 1224352, "speak. Finally he drew his sword.  Sansa heard someone gasp. Ser Boros and Ser Meryn"
Barristan S (Barristan), Meryn T (Meryn), 1224401, "heard someone gasp. Ser Boros and Ser Meryn moved forward to confront him; but Ser Barristan"
Varys (Varys), Meryn T (Meryn), 1240695, "my lord."  "My daughters �"  "The younger girl escaped Ser Meryn and fled;" Varys"
Meryn T (Meryn), Joffrey B (Joffrey), 1464310, "corrected her. "I shall look for you in court." He turned and left.  Ser Meryn"
Arys O (Arys), Meryn T (Meryn), 1464323, "shall look for you in court." He turned and left.  Ser Meryn and Ser Arys"
Sandor C (Sandor), Meryn T (Meryn), 1464352, "court." He turned and left.  Ser Meryn and Ser Arys followed him out; but Sandor"
Sandor C (Sandor), Meryn T (Meryn), 1467149, "do;" he replied.  "Yes � but you are no true knight; Ser Meryn."  Sandor"
Sansa S (Sansa), Meryn T (Meryn), 1467191, "you are no true knight; Ser Meryn."  Sandor Clegane would have laughed at that; Sansa"
Sansa S (Sansa), Meryn T (Meryn Trant), 1467403, "these. Ser Meryn Trant simply did not care.  The balcony was deserted save for Sansa"
Meryn T (Meryn), Sandor C (Hound), 1470073, "her at the base of the curving stairs. The Hound was with him; and Ser Meryn"
Sandor C (Hound), Meryn T (Meryn), 1471117, "Ser Meryn opened a door for them.  "Thank you; Your Grace;" she murmured. The Hound"
Meryn T (Meryn), Sansa S (Sansa), 1472122, " Sansa shook her head wildly. "I won't. I won't."  "I can have Ser Meryn"
Meryn T (Meryn), Sansa S (Sansa), 1476943, "you smile and laugh."  Sansa made herself smile; afraid that he would have Ser Meryn"
Robert B (the king), Meryn T (Meryn), 1477002, "Ser Meryn hit her again if she did not; but it was no good; the king"
