Hal M Encounters:
Robb S (Robb), Hal M (Hal), 256607, "as he is �" Hal shook his head.  "We found where he'd been sleeping;" Robb"
Eddard S (Eddard), Hal M (Hal), 258473, " "How many guards do you want; m'lady?" Hal asked.  "So long as Lord Eddard"
Hal M (Hal), Theon G (Theon), 263014, "now."  "You will need a strong escort; my lady;" Theon said.  "I'll send Hal"
Robb S (Robb), Hal M (Hal), 263047, "strong escort; my lady;" Theon said.  "I'll send Hal with a squad of guardsmen;" Robb"
Catelyn S (Catelyn), Hal M (Hal), 263068, "Theon said.  "I'll send Hal with a squad of guardsmen;" Robb said.  "No;" Catelyn"
Hal M (Hal), Robb S (Robb), 776983, "better if he and Robb had gone off alone; just the two of them; but Hal"
Luwin (Maester Luwin), Hal M (Hal Mollen), 777030, "just the two of them; but Hal Mollen would not hear of it; and Maester Luwin"
Bran S (Bran), Hal M (Hal Mollen), 777050, "them; but Hal Mollen would not hear of it; and Maester Luwin backed him. If Bran"
Hal M (Hal), Robb S (Robb), 1126491, "it did not have to be Robb. His brother might have given the command to Hal"
Theon G (Theon), Hal M (Hal Mollen), 1126507, "have to be Robb. His brother might have given the command to Hal Mollen or Theon"
Luwin (Maester Luwin), Hal M (Hal Mollen), 1126564, "command to Hal Mollen or Theon Greyjoy; or to one of his lords bannermen. Maester Luwin"
Hal M (Hal), Robb S (Robb), 1129858, "was going to kill me;" Robb confessed. "Did you see the way he threw down Hal"
Rickon S (Rickon), Hal M (Hal), 1129893, ""Did you see the way he threw down Hal; like he was no bigger than Rickon"
Greatjon U (Greatjon), Hal M (Hal), 1129934, "Hal; like he was no bigger than Rickon? Gods; I was so scared. And the Greatjon"
Greatjon U (Lord Umber), Hal M (Hal), 1133526, "red eyes; "and watch over his men; Hal and Quent and the rest; and Lord Umber"
Maege M (Lady Mormont), Hal M (Hal), 1133543, "watch over his men; Hal and Quent and the rest; and Lord Umber and Lady Mormont"
Hal M (Hal), Catelyn S (Catelyn), 1364892, "when it comes;" Catelyn told him. When it came; she knew it would mean death. Hal"
Robb S (Robb), Hal M (Hal), 1364927, "it came; she knew it would mean death. Hal's death perhaps � or hers; or Robb"
Hal M (Hal), Catelyn S (Catelyn), 1371418, "They were northern birds.  They are coming; Catelyn thought.  "They're coming; my lady;" Hal"
Hal M (Hal), Catelyn S (Catelyn), 1374673, "at a trot; leading his men downhill.  Catelyn sat on her horse; unmoving; with Hal"
Brandon S (Brandon), Hal M (Hal Mollen), 1374759, "Mollen and her guard around her; and she waited as she had waited before; for Brandon"
Hal M (Hal), Jaime L (Kingslayer), 1377472, "dragged Ser Jaime Lannister. They threw him down in front of her horse. "The Kingslayer;" Hal"
Catelyn S (Lady Stark), Hal M (Hal), 1377538, "front of her horse. "The Kingslayer;" Hal announced; unnecessarily.  Lannister raised his head. "Lady Stark"
