Farlen Encounters:
Farlen (Farlen), Bran S (Bran), 586288, "had his hand down some woman�s bodice, and she seemed not to mind. Bran watched Farlen"
Nan (Old Nan), Farlen (Farlen), 586343, "mind. Bran watched Farlen make his red bitch beg for bones and smiled at Old Nan"
Farlen (Farlen), Mikken (Mikken), 1196866, "the kitchens, spotted with flour from making the morning bread. Mikken they dragged in cursing. Farlen"
Barth (Barth), Farlen (Farlen), 1295779, "offer?� Joseth who�d groomed his horses, Farlen who�d taught him all he knew of hounds, Barth"
Farlen (Farlen), Theon G (Reek), 1296996, "fine bowman. �Aggar, Rednose, Gelmarr, Reek, Wex.� He needed his own to watch his back. �Farlen"
Farlen (Farlen), Wex (Wex), 1296996, "fine bowman. �Aggar, Rednose, Gelmarr, Reek, Wex.� He needed his own to watch his back. �Farlen"
Theon G (Theon), Farlen (Farlen), 1297328, "safe.�  He saw the defiance die in Farlen�s eyes. �Aye, m�lord.�  Stepping back, Theon"
Theon G (Theon), Farlen (Farlen), 1303018, "a haunch until Farlen shouted him off. No part of this animal has been butchered, Theon"
Wex (Wex), Farlen (Farlen), 1303555, "swollen by the recent rains. It was there the dogs lost the scent. Farlen and Wex"
Theon G (Theon), Farlen (Farlen), 1307092, "they joined up with Farlen�s party, one look at the kennelmaster�s face smashed all of Theon"
Theon G (Theon), Farlen (Farlen), 1431032, "not let the killings go unpunished. Farlen was as likely a suspect as any, so Theon"
Farlen (Farlen), Nan (Old Nan), 1434357, "the castle. Old Nan stood with her soft toothless mouth opening and closing soundlessly, and Farlen"
Theon G (Theon), Farlen (Farlen), 1434380, "stood with her soft toothless mouth opening and closing soundlessly, and Farlen threw himself at Theon"
Urzen (Urzen), Farlen (Farlen), 1434420, "and closing soundlessly, and Farlen threw himself at Theon, snarling like one of his hounds. Urzen"
Theon G (Theon), Farlen (Farlen), 1443050, "of a table. The miller�s wife was there as well, and Farlen, even the wildling Theon"
Bran S (Bran), Farlen (Farlen), 1443104, "Farlen, even the wildling Theon had killed in the wolfswood the day he had saved Bran"
