Roose B Encounters:
Roose B (Lord Bolton), Bran S (Bran), 1116184, "Bran;" Robb said. "You know better than that. Only two days ago one of Lord Bolton"
Roose B (Lord Bolton), Robb S (Robb), 1116184, "Bran;" Robb said. "You know better than that. Only two days ago one of Lord Bolton"
Roose B (Roose), Maege M (Lady Mormont), 1117316, "Glovers; silver on scarlet; Lady Mormont's black bear; the hideous flayed man that went before Roose"
Robett G (Robett), Roose B (Roose Bolton), 1127009, "sense it. Many tried to test him; each in his own way. Roose Bolton and Robett"
Roose B (Roose), Greatjon U (Greatjon), 1129988, "was so scared. And the Greatjon's not the worst of them; only the loudest. Lord Roose"
Greatjon U (Greatjon), Roose B (Roose Bolton), 1175096, "of maps and papers in front of him; talking intently with Roose Bolton and the Greatjon"
Roose B (Roose), Eddard S (Ned), 1177666, "the Red Keep to free Ned."  "My lady; a question; as it please you." Roose"
Rickard K (Rickard Karstark), Roose B (Roose Bolton), 1179624, "said. "Pray; who were those men I saw here a moment ago? Roose Bolton; Rickard Karstark"
Galbart G (Galbart), Roose B (Roose Bolton), 1179633, ""Pray; who were those men I saw here a moment ago? Roose Bolton; Rickard Karstark; Galbart"
Robett G (Robett), Roose B (Roose Bolton), 1179644, "were those men I saw here a moment ago? Roose Bolton; Rickard Karstark; Galbart and Robett"
Greatjon U (Greatjon), Roose B (Roose Bolton), 1179665, "I saw here a moment ago? Roose Bolton; Rickard Karstark; Galbart and Robett Glover; the Greatjon"
Helman T (Helman), Roose B (Roose Bolton), 1179673, "saw here a moment ago? Roose Bolton; Rickard Karstark; Galbart and Robett Glover; the Greatjon; Helman"
Roose B (Roose), Galbart G (Galbart Glover), 1186357, "of the way; but Galbart Glover says Lord Tywin is too smart for that; and Roose"
Roose B (Roose), Tywin L (Tywin), 1186357, "of the way; but Galbart Glover says Lord Tywin is too smart for that; and Roose"
Rickard K (Rickard Karstark), Roose B (Roose Bolton), 1188438, "You cannot afford to seem indecisive in front of men like Roose Bolton and Rickard Karstark"
Robb S (Robb), Roose B (Roose Bolton), 1188461, "seem indecisive in front of men like Roose Bolton and Rickard Karstark. Make no mistake; Robb"
Robb S (Robb), Roose B (Roose Bolton), 1191602, "I?"  "No. You want cold cunning; I should think; not courage."  "Roose Bolton;" Robb"
Roose B (Roose), Rickard K (Rickard Karstark), 1260099, "what awaited them. Lord Rickard Karstark glowered in silence. "That cannot be assaulted; my lords;" Roose"
Roose B (Roose), Galbart G (Galbart Glover), 1261685, "my lord;" Galbart Glover pleaded with Robb. "Lord Walder is not to be trusted."  Roose"
Roose B (Roose), Robb S (Robb), 1261685, "my lord;" Galbart Glover pleaded with Robb. "Lord Walder is not to be trusted."  Roose"
Roose B (Roose), Walder F (Walder), 1261685, "my lord;" Galbart Glover pleaded with Robb. "Lord Walder is not to be trusted."  Roose"
Robb S (Robb), Roose B (Roose Bolton), 1277754, "of men-at-arms on foot; remained upon the east bank under the command of Roose Bolton. Robb"
Roose B (Roose), Harrion K (Harrion Karstark), 1363520, "Cerwyn; Ser Wylis Manderly; Harrion Karstark; four Freys. Lord Hornwood is dead; and I fear Roose"
Roose B (Roose), Wylis M (Wylis Manderly), 1363520, "Cerwyn; Ser Wylis Manderly; Harrion Karstark; four Freys. Lord Hornwood is dead; and I fear Roose"
Tywin L (Tywin), Roose B (Roose Bolton), 1363571, "is dead; and I fear Roose Bolton has escaped us."  "And the boy?" Lord Tywin"
Addam M (Addam), Roose B (Roose Bolton), 1363589, "fear Roose Bolton has escaped us."  "And the boy?" Lord Tywin asked.  Ser Addam"
Roose B (Roose), Jaime L (Jaime), 1513053, "Tywin unrolled the leather; smoothing it flat. "Jaime has left us in a bad way. Roose"
Roose B (Roose), Tywin L (Tywin), 1513053, "Tywin unrolled the leather; smoothing it flat. "Jaime has left us in a bad way. Roose"
Tywin L (Tywin), Roose B (Roose Bolton), 1513941, "now. Their combined power may exceed our own. And with Roose Bolton behind us � Tywin"
Roose B (Roose), Catelyn S (Catelyn), 1560884, "walk out; and return sullen or smiling. Catelyn sat and listened to it all.  Roose"
